ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
MSFT,Microsoft Corporation,Microsoft,Application Software,"Microsoft Corp is a technology company. It develop, license, and support a wide range of software products and services. Its business is organized into three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing.",http://www.microsoft.com,MSFT.png,Satya Nadella,Nasdaq Global Select,8.16E+11,Technology,Technology,Software - Infrastructure,Application Software 
ORCL,Oracle Corporation,Oracle,Application Software,"Oracle Corp is a computer software company. It sells enterprise information technology solutions, including databases, middleware, applications, and hardware. The Company primarily offers software licenses, support, and maintenance services worldwide.",http://www.oracle.com,ORCL.png,Mark V. Hurd / Safra Ada Catz,New York Stock Exchange,1.84E+11,Technology,Technology,Software - Infrastructure,Application Software 
SAP,SAP SE ADS,SAP SE ADS,Application Software,"SAP SE is a global software vendor, providing solutions for enterprise resource planning, database management, business intelligence, and vertical-specific software.",http://www.sap.com,SAP.png,William R. Mcdermott,New York Stock Exchange,1.30E+11,Technology,Technology,Software - Application,Application Software 
ADBE,Adobe Inc.,Adobe,Application Software,"Adobe Systems Inc offers a line of software and services for content creation and the measurement of digital advertising and marketing. Its software applications includes Photoshop and Lightroom, Adobe Analytics, Media Optimizer and Campaign Manager.",http://www.adobe.com,ADBE.png,Shantanu Narayen,Nasdaq Global Select,1.24E+11,Technology,Technology,Software - Application,Application Software 
IBM,International Business Machines Corporation,International Business Machines,Application Software,"International Business Machines Corp offers a variety of IT services along with software, and hardware. It has operations in over 170 countries and provides planning, build, manage, and maintain IT infrastructure, platforms, applications, and services.",http://www.ibm.com,IBM.png,Virginia M. Rometty,New York Stock Exchange,1.23E+11,Technology,Technology,Information Technology Services,Application Software 
CRM,Salesforce.com Inc,Salesforce.com,Application Software,"Salesforce.com Inc is a software-as-a-service company that provides enterprise cloud computing solutions, offering social and mobile cloud apps and platform services, as well as professional services to facilitate the adoption of its solutions.",http://www.salesforce.com,CRM.png,Marc Benioff / Keith Block,New York Stock Exchange,1.21E+11,Technology,Technology,Software - Application,Application Software 
ACN,Accenture plc Class A (Ireland),Accenture plc (Ireland),Application Software,"Accenture PLC is a professional service company. It provides consulting, technology and outsourcing services to Communications, Media and Technology, Financial services, Health and Public service, Products and Resources segments.",http://www.accenture.com,ACN.png,David P. Rowland,New York Stock Exchange,99997753856,Technology,Technology,Information Technology Services,Application Software 
VMW,Vmware Inc. Class A,Vmware,Application Software,"VMWare Inc provides virtualization and cloud infrastructure solutions. It is engaged in the development and application of virtualization technologies with x86 server-based computing, separating application software from the underlying hardware.",http://www.vmware.com,VMW.png,Patrick P. Gelsinger,New York Stock Exchange,63615095616,Technology,Technology,Software - Infrastructure,Application Software 
INTU,Intuit Inc.,Intuit,Application Software,"Intuit Inc creates business and financial management solutions for small businesses, consumers, and accounting professionals. The company's products and services include QuickBooks and TurboTax.",http://www.intuit.com,INTU.png,Sasan K. Goodarzi,Nasdaq Global Select,57480573480,Technology,Technology,Software - Application,Application Software 
INFY,Infosys Limited American Depositary Shares,Infosys Limited American Depositary Shares,Application Software,"Infosys Ltd is engaged in consulting, technology, outsourcing and next-generation services. It offers software re-engineering, maintenance, systems integration, package evaluation and implementation and infrastructure management services.",http://www.infosys.com,INFY.png,Salil Parekh,New York Stock Exchange,47262135888,Technology,Technology,Information Technology Services,Application Software 
WDAY,Workday Inc.,Workday,Application Software,"Workday Inc is a SaaS provider offering enterprise resource planning, or ERP, software for medium and large enterprises. The company's product portfolio is built around human capital and financial management software.",http://www.workday.com,WDAY.png,Aneel Bhusri,Nasdaq Global Select,41657000000,Technology,Technology,Software - Application,Application Software 
