ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
GCV,Gabelli Convertible and Income Securities Fund Inc. (The),Gabelli Convertible and Income Securities Fund (The),Asset Management,The Gabelli Convertible and Income Securities Fund Inc is a diversified closed-end management investment company. Its investment objective is of a high level of total return by investing in convertible securities.,http://www.gabelli.com,GCV.png,,New York Stock Exchange,72305033,Financial Services,Financial Services,Asset Management, 
HCAP,Harvest Capital Credit Corporation,Harvest Capital Credit,Asset Management,"Harvest Capital Credit Corp is an externally managed, non-diversified closed-end investment company. It provides customized financing solutions to small to mid-sized companies to generate both current income and capital appreciation.",http://www.harvestcapitalcredit.com,,Joseph A. Jolson,NASDAQ Global Market,70784996,Financial Services,Financial Services,Asset Management, 
FEO,First Trust/Aberdeen Emerging Opportunity Fund of Beneficial Interest,First Trust/Aberdeen Emerging Opportunity Fund of Beneficial Interest,Asset Management,"First Trust/aberdeen Emerging Opp Fund is a United States based diversified, closed-end management investment company. Its investment objective is to provide a high level of total return.",http://www.ftportfolios.com,FEO.png,James M. Dykas,New York Stock Exchange,70478426,Financial Services,Financial Services,Asset Management, 
XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust of Beneficial Interest,XAI Octagon Floating Rate & Alternative Income Term Trust of Beneficial Interest,Asset Management,"XAI Octagon FR & Alt Income Term Trust is a diversified, closed-end management investment company. Its investment objective is to seek attractive total return with an emphasis on income generation across multiple stages of the credit cycle.",http://www.xainvestments.com,XFLT.png,Theodore J. Brombach,New York Stock Exchange,70206604,Financial Services,Financial Services,Asset Management, 
FCO,Aberdeen Global Income Fund Inc.,Aberdeen Global Income Fund,Asset Management,"Aberdeen Global Income Fund Inc is a closed-end, non-diversified management investment company. The fund's principal investment objective is to provide high current income by investing primarily in fixed income securities.",http://www.aberdeenfco.com,,,NYSE American,69711064,Financial Services,Financial Services,Asset Management, 
NBW,Neuberger Berman California Municipal Fund Inc,Neuberger Berman California Municipal Fund,Asset Management,Neuberger Berman CA Interm Muni Fund is a closed-end management investment company that invests in municipal securities. Its objective is to provide common stockholders with a high level of current income exempt from federal income tax.,https://www.nb.com,NBW.png,Joseph V. Amato,NYSE American,69220970,Financial Services,Financial Services,Asset Management, 
SRV,Cushing MLP & Infrastructure Total Return Fund,Cushing MLP & Infrastructure Total Return Fund,Asset Management,"Cushing Mlp Total Return Fund is a non-diversified, closed-end management investment company with an investment objective of seeking a high after-tax total return from a combination of capital appreciation and current income.",http://www.cushingcef.com,,Jerry V. Swank,New York Stock Exchange,68218479,Financial Services,Financial Services,Asset Management, 
VCF,Delaware Investments Colorado Municipal Income Fund Inc,Delaware Investments Colorado Municipal Income Fund,Asset Management,"Delaware Investments Colorado Municipal Income Fund, Inc is a closed-end investment company. It provides current income exempt from both regular federal income tax and Colorado state personal income tax, consistent with the preservation of capital.",https://www.delawarefunds.com,VCF.png,Shawn K. Lytle,NYSE American,66897093,Financial Services,Financial Services,Asset Management, 
LOR,Lazard World Dividend & Income Fund Inc.,Lazard World Dividend & Income Fund,Asset Management,"Lazard World Dividend & Income Fd is a United States based diversified, closed-end management investment company. Its investment objective is total return through a combination of dividends, income and capital appreciation.",http://www.lazardnet.com,,Nathan A. Paul,New York Stock Exchange,66620812,Financial Services,Financial Services,Asset Management, 
JMM,Nuveen Multi-Market Income Fund (MA),Nuveen Multi-Market Income Fund (MA),Asset Management,Nuveen Multi-Market Income Fund is a United States based closed-end management investment company. The investment objective of the company is to provide high monthly income consistent with prudent risk to capital.,http://www.nuveen.com/JMM,,Cedric H. Antosiewicz,New York Stock Exchange,65668709,Financial Services,Financial Services,Asset Management, 
EEA,The European Equity Fund Inc.,The European Equity Fund,Asset Management,"The European Equity Fund Inc is a United States based diversified, closed-end management investment company. The fund seeks long-term capital appreciation through investment primarily in equity and equity-linked securities of issuers domiciled in Europe.",http://www.dws-investments.com,,Hepsen Uzcan,New York Stock Exchange,65520225,Financial Services,Financial Services,Asset Management, 
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,Asset Management,Eaton Vance NY Muni Income Trust is a United States based non-diversified closed-end investment company. Its investment objective is to provide current income exempt from regular federal income tax and taxes in its specified state.,http://www.eatonvance.com,EVY.png,,NYSE American,65051922,Financial Services,Financial Services,Asset Management, 
BFY,BlackRock New York Municipal Income Trust II,BlackRock New York Municipal Income Trust II,Asset Management,Blackrock New York Muni Income Tr II is a perpetual closed-end municipal bond fund. Its objective is to provide current income exempt from regular Federal income taxes and and New York State and New York City personal income taxes.,http://www.blackrock.com,BFY.png,John M. Perlowski,New York Stock Exchange,64413346,Financial Services,Financial Services,Asset Management, 
PHCF,Puhui Wealth Investment Management Co. Ltd.,Puhui Wealth Investment Management Co.,Asset Management,,http://www.puhuiwealth.com,,Zhe Ji,NASDAQ Capital Market,62760000,Financial Services,Financial Services,Asset Management, 
TURN,180 Degree Capital Corp.,180 Degree Capital,Asset Management,180 Degree Capital Corp is a non-diversified management investment company operating as a business development company. It invests in companies commercializing and integrating products enabled by disruptive technologies in the life sciences.,http://www.180degreecapital.com,,Kevin Rendino,NASDAQ Global Market,60095736,Financial Services,Financial Services,Asset Management, 
