ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
JPM,JP Morgan Chase & Co.,JP Morgan Chase & Co.,Banks,"JPMorgan Chase & Co is a financial services firm and a banking institution. It is engaged in investment banking, commercial banking, treasury and securities services, asset management, retail financial services, and credit card businesses.",http://www.jpmorganchase.com,JPM.png,James S. Dimon,New York Stock Exchange,3.42E+11,Financial Services,Financial Services,Banks - Global,Banks 
BAC,Bank of America Corporation,Bank of America,Banks,"Bank of America Corporation is a bank holding and a financial holding company. The company provides financial products and services to people, companies and institutional investors.",http://www.bankofamerica.com,BAC.png,Brian T. Moynihan,New York Stock Exchange,2.79E+11,Financial Services,Financial Services,Banks - Global,Banks 
WFC,Wells Fargo & Company,Wells Fargo & Company,Banks,Wells Fargo & Co operates as one of the largest banks in the United States. Its business operations are split into three segments: Community banking; Wholesale banking; and Wealth and Investment Management.,http://www.wellsfargo.com,,Timothy Sloan,New York Stock Exchange,2.25E+11,Financial Services,Financial Services,Banks - Global,Banks 
HSBC,HSBC Holdings plc.,HSBC plc.,Banks,"HSBC Holdings PLC provides commercial banking, global banking, and wealth management among other services. It operates in Europe, Asia, the Middle East and North Africa, and North America.",http://www.hsbc.com,HSBC.png,,New York Stock Exchange,1.68E+11,Financial Services,Financial Services,Banks - Global,Banks 
C,Citigroup Inc.,Citigroup,Banks,"Citigroup Inc is a financial-services company with business spanning more than 100 countries. Its core business is providing banking services, investment banking, cash management, and various other products and services.",http://www.citigroup.com,,,New York Stock Exchange,1.52E+11,Financial Services,Financial Services,Banks - Global,Banks 
RY,Royal Bank Of Canada,Royal Bank Of Canada,Banks,"Royal Bank of Canada is one of the largest Canadian banks. It provides diversified financial services, personal and commercial banking, wealth management services, insurance, corporate and investment banking, and transaction processing services worldwide.",http://www.rbc.com,RY.png,David I. McKay,New York Stock Exchange,1.10E+11,Financial Services,Financial Services,Banks - Global,Banks 
TD,Toronto Dominion Bank (The),Toronto Dominion Bank (The),Banks,"The Toronto-Dominion Bank and its subsidiaries provide financial products and services. It offers asset management, insurance, wealth management, investment banking, wholesale banking, personal banking and commercial banking services and others.",http://www.td.com,TD.png,,New York Stock Exchange,1.04E+11,Financial Services,Financial Services,Banks - Global,Banks 
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Banco Santander Brasil SA American Depositary Shares each representing one unit,Banks,"Banco Santander (Brasil) SA operates as a multiple service bank. It is engaged in investment, lending and financing, mortgage lending, leasing, credit card operations and foreign exchange. The company operates in Brazil and internationally.",http://www.santander.com.br,BSBR.png,,New York Stock Exchange,1.02E+11,Financial Services,Financial Services,Banks - Regional - Latin America,Banks 
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),Banks,"Itau Unibanco Holding SA operates through banks. Its services comprise of investment banking, credit card, financing, leasing, and foreign trade financing.",http://www.itau.com.br,ITUB.png,Candido Botelho Bracher,New York Stock Exchange,1.01E+11,Financial Services,Financial Services,Banks - Regional - Latin America,Banks 
HDB,HDFC Bank Limited,HDFC Bank Limited,Banks,"HDFC Bank Ltd is a banking and financial services company. It offers retail banking, wholesale banking and other banking services such as accounts and deposits, loans, insurance, forex and among others.",http://www.hdfcbank.com,,,New York Stock Exchange,89830228434,Financial Services,Financial Services,Banks - Regional - Asia,Banks 
