ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
KO,Coca-Cola Company (The),Coca-Cola Company (The),Beverages - Non-Alcoholic,"Coca-Cola Co is nonalcoholic beverage company which manufactures a variety of carbonated and noncarbonated brands, including Coca-Cola, Diet Coke, Fanta, Sprite, Minute Maid, Powerade, and Dasani.",http://www.coca-colacompany.com,KO.png,James Robert Quincey,New York Stock Exchange,2.09E+11,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
PEP,PepsiCo Inc.,PepsiCo,Beverages - Non-Alcoholic,"PepsiCo Inc is a food, snack and beverage company. It manufactures, markets, distributes and sells convenient and enjoyable beverages, foods and snacks, serving customers and consumers in more than 200 countries and territories.",http://www.pepsico.com,PEP.png,Ramon Laguarta,Nasdaq Global Select,1.60E+11,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper,Beverages - Non-Alcoholic,"Dr Pepper Snapple Group Inc manufactures and distributes nonalcoholic beverages in United States, Mexico and the Caribbean, and Canada under various brands such as Dr Pepper, Canada Dry, 7UP, Snapple, Schweppes, Crush, Sunkist, among others.",http://www.drpeppersnapplegroup.com,KDP.png,Robert J. Gamgort,New York Stock Exchange,38714998240,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
MNST,Monster Beverage Corporation,Monster Beverage,Beverages - Non-Alcoholic,"Monster Beverage Corp develops, markets, sells and distributes energy drink beverages and/or concentrates for energy drink beverages. Its brands include Monster Energy, Java Monster, Monster Rehab, NOS, Full Throttle, Mother, among others.",http://www.monsterbevcorp.com,MNST.png,Rodney C. Sacks,Nasdaq Global Select,32165885690,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
CCEP,Coca-Cola European Partners plc,Coca-Cola European Partners plc,Beverages - Non-Alcoholic,Coca-Cola European Partners PLC is a soft drinks manufacturer. It produces and markets non-alcoholic beverages in the European region.,http://www.cokecce.com,CCEP.png,Damian P. Gammell,New York Stock Exchange,22824658372,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
KOF,Coca Cola Femsa S.A.B. de C.V.,Coca Cola Femsa S.A.B. de C.V.,Beverages - Non-Alcoholic,Coca-Cola Femsa SAB de CV caters to the beverage industry. It is a franchise bottler of Coca-Cola trademark beverages.,http://www.coca-colafemsa.com,KOF.png,John Anthony Santa Maria Otazua,New York Stock Exchange,13136302400,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
FIZZ,National Beverage Corp.,National Beverage,Beverages - Non-Alcoholic,"National Beverage Corp is engaged in the development, manufacturing, marketing and sale of flavored beverage products. It offers Sparkling Waters, Juices, Energy Drinks and Carbonated Soft Drinks.",http://www.nationalbeverage.com,,Nick A. Caporella,Nasdaq Global Select,3922616201,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
AKO.B,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,"Embotelladora Andina SA is a Coca-Cola bottler in Latin America that produces carbonated soft drinks, water, fruit juices, energy drinks, and sports drinks that it sells under various Coca-Cola brands.",http://www.koandina.com,,Miguel Ángel Peirano,New York Stock Exchange,2911851504,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
AKO.A,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,"Embotelladora Andina SA is a Coca-Cola bottler in Latin America that produces carbonated soft drinks, water, fruit juices, energy drinks, and sports drinks that it sells under various Coca-Cola brands.",http://www.koandina.com,,Miguel Ángel Peirano,New York Stock Exchange,2598871816,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
COT,Cott Corporation,Cott,Beverages - Non-Alcoholic,"Cott Corp along with its subsidiaries is engaged in manufacturing and selling beverages. Its is route based service company that offers bottled water and coffee roasting, blending of iced tea and extract solutions for the U.S. foodservice industry.",http://www.cott.com,COT.png,Thomas Harrington,New York Stock Exchange,2113790929,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
COKE,Coca-Cola Consolidated Inc.,Coca-Cola Consolidated,Beverages - Non-Alcoholic,"Coca-Cola Bottling Co Consolidated together with its subsidiaries, produces, markets, and distributes nonalcoholic beverages.",http://www.cokeconsolidated.com,COKE.png,J. Frank Harrison,Nasdaq Global Select,2057982300,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
NBEV,New Age Beverages Corporation,New Age Beverages,Beverages - Non-Alcoholic,"New Age Beverages Corp is engaged in positioning itself as a healthy beverage company integrating its búcha Live Kombucha business, strengthening the businesses foundation and processes.",http://www.newagebev.com,NBEV.png,Brent David Willis,NASDAQ Capital Market,547610789,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic 
