ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
FDS,FactSet Research Systems Inc.,FactSet Research Systems,Brokers & Exchanges,"FactSet Research Systems Inc is a financial and economic data and analytics service provider. It aggregates content from hundreds of databases, reformats it, and then furnishes the data to research analysts, and other financial professionals.",http://www.factset.com,FDS.png,F. Philip Snow,New York Stock Exchange,8356012404,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
MKTX,MarketAxess Holdings Inc.,MarketAxess,Brokers & Exchanges,"MarketAxess Holdings Inc provides electronic fixed-income trading platform. It's trading categories include US and European high-grade corporate, European Government, and high-yield bonds. The firm also provides market information and analytic tools.",http://www.marketaxess.com,MKTX.png,Richard M. Mcvey,Nasdaq Global Select,8150075463,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
ERIE,Erie Indemnity Company,Erie Indemnity Company,Brokers & Exchanges,"Erie Indemnity Co provides sales, underwriting and policy issuance services to the policyholders of Erie Insurance Exchange. It also operates as a property & casualty insurer through its wholly-owned subsidiaries.",http://www.erieinsurance.com,ERIE.png,Timothy G. Necastro,Nasdaq Global Select,7964792694,Financial Services,Financial Services,Insurance Brokers,Brokers & Exchanges 
BRO,Brown & Brown Inc.,Brown & Brown,Brokers & Exchanges,"Brown & Brown Inc is an insurance agent and broker. It offers insurance products and services, primarily in the areas of property, casualty, and employee benefits, by connecting customers with insurance companies.",http://www.bbinsurance.com,BRO.png,J. Powell Brown,New York Stock Exchange,7794774040,Financial Services,Financial Services,Insurance Brokers,Brokers & Exchanges 
LPLA,LPL Financial Holdings Inc.,LPL Financial,Brokers & Exchanges,"LPL Financial Holdings Inc operates as a broker through its subsidiaries. The company provides a platform of proprietary technology, brokerage, and investment advisor services to financial advisors and institutions.",http://www.lpl.com,LPLA.png,Dan Arnold,Nasdaq Global Select,6573987729,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
LAZ,Lazard LTD. LTD. Class A,Lazard,Brokers & Exchanges,"Lazard Ltd is a financial advisory and asset management firm. It offers corporate, institutional, government and individuals with financial advisory services for mergers and acquisitions, restructurings, capital structure, capital raising and others.",http://www.lazard.com,LAZ.png,Kenneth M. Jacobs,New York Stock Exchange,4917697884,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
VIRT,Virtu Financial Inc.,Virtu Financial,Brokers & Exchanges,Virtu Financial Inc is a leading technology-enabled market maker and liquidity provider to the global financial markets. It maintains a technology platform which provides quotations to buyers and sellers of various securities.,http://www.virtu.com,VIRT.png,Douglas A. Cifu,Nasdaq Global Select,4840722288,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
SF,Stifel Financial Corporation,Stifel Financial,Brokers & Exchanges,"Stifel Financial Corp is a full-service brokerage and investment banking firm. It provides securities brokerage, investment banking, trading, investment advisory, and related financial services to individual investors, businesses, and municipalities.",http://www.stifel.com,,Ronald J. Kruszewski,New York Stock Exchange,3680523405,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
EVR,Evercore Inc. Class A,Evercore,Brokers & Exchanges,"Evercore Inc is an investment banking and investment management firm. It provides financial advisory services to clients on mergers, acquisitions, divestitures and other strategic corporate transactions.",http://www.evercore.com,EVR.png,Ralph L. Schlosstein,New York Stock Exchange,3628654158,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
HLI,Houlihan Lokey Inc. Class A,Houlihan Lokey,Brokers & Exchanges,"Houlihan Lokey Inc is an investment bank with expertise in mergers and acquisitions, capital markets and strategic consulting. It operates in three segments namely, Corporate Finance, Financial Restructuring and Financial Advisory Services.",http://www.hl.com,HLI.png,Scott L. Beiser,New York Stock Exchange,2925044491,Financial Services,Financial Services,Capital Markets,Brokers & Exchanges 
