ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
ADP,Automatic Data Processing Inc.,Automatic Data Processing,Business Services,"Automatic Data Processing Inc is a provider of miscellaneous business solutions. Its business includes provision of technology-based outsourcing solutions to employers, vehicle retailers and manufacturers.",http://www.adp.com,ADP.png,Carlos A. Rodriguez,Nasdaq Global Select,62569487491,Industrials,Industrials,Business Services, 
FIS,Fidelity National Information Services Inc.,Fidelity National Information Services,Business Services,"Fidelity National Information Services Inc offers a range of solutions in retail and institutional banking, payments, asset and wealth management, risk and compliance, treasury and insurance and provides consulting and outsourcing services.",http://www.fisglobal.com,FIS.png,Gary A. Norcross,New York Stock Exchange,35686396564,Industrials,Industrials,Business Services, 
FISV,Fiserv Inc.,Fiserv,Business Services,Fiserv Inc is a business solutions provider. Its service offering primarily includes electronic processing services.,http://www.fiserv.com,FISV.png,Jeffery W. Yabuki,Nasdaq Global Select,32891942753,Industrials,Industrials,Business Services, 
WP,Worldpay Inc. Class A,Worldpay,Business Services,"Worldpay Inc is a payment processing company that provides integrated technology platform. It offers suite of payment processing services through a single provider, including e-commerce and mobile devices.",http://www.worldpay.com,WP.png,Charles D. Drucker,New York Stock Exchange,26504218323,Industrials,Industrials,Business Services, 
PAYX,Paychex Inc.,Paychex,Business Services,"Paychex Inc operates in payroll outsourcing industry. The company provides integrated payroll, human resource, insurance, and benefits outsourcing solutions for small and medium-sized businesses in the United States.",http://www.paychex.com,PAYX.png,Martin Mucci,Nasdaq Global Select,26249564966,Industrials,Industrials,Business Services, 
FLT,FleetCor Technologies Inc.,FleetCor,Business Services,"Fleetcor Technologies, Inc. provides fuel cards, commercial payment and data solutions, lodging and transportation management services, stored value solutions, and workforce payment products and services to businesses, retailers, and commercial fleets.",http://www.fleetcor.com,,Ronald Clarke,New York Stock Exchange,24818315384,Industrials,Industrials,Business Services, 
FDC,First Data Corporation Class A,First Data,Business Services,"First Data Corp is a provider of electronic commerce and payment solutions for merchants, financial institutions and card issuers globally. It segments are Global Business Solutions, Global Financial Solutions, Network & Security Solutions.",http://www.firstdatacorp.com,FDC.png,Frank J. Bisignano,New York Stock Exchange,23448596015,Industrials,Industrials,Business Services, 
INFO,IHS Markit Ltd.,IHS Markit,Business Services,"IHS Markit Ltd is a provider of data and analytics to corporate and sovereign clients across various industries. It products include economic forecasting, cost modeling, risk assessments and scenario analysis, competitive benchmarking and consulting.",https://www.ihsmarkit.com,INFO.png,Lance Uggla,Nasdaq Global Select,20690529472,Industrials,Industrials,Business Services, 
CTAS,Cintas Corporation,Cintas,Business Services,"Cintas Corp is a provider of corporate identity uniforms. It products include rental and sale of entrance mats, mops, shop towels, and restroom supplies. The company also offers safety supplies, fire-suppression systems maintenance and others.",http://www.cintas.com,CTAS.png,Scott D. Farmer,Nasdaq Global Select,19900975852,Industrials,Industrials,Business Services, 
VRSK,Verisk Analytics Inc.,Verisk Analytics,Business Services,"Verisk Analytics Inc is a data analytics provider serving customers in insurance, natural resources and financial services.",http://www.verisk.com,VRSK.png,Scott G. Stephenson,Nasdaq Global Select,19624367009,Industrials,Industrials,Business Services, 
GPN,Global Payments Inc.,Global Payments,Business Services,"Global Payments Inc has interests in offering business solutions. Its primary activity includes payment solutions for merchants, value-added resellers, enterprise software providers, financial institutions and government agencies.",http://www.globalpaymentsinc.com,GPN.png,Jeffrey Sloan,New York Stock Exchange,18213441765,Industrials,Industrials,Business Services, 
EFX,Equifax Inc.,Equifax,Business Services,"Equifax Inc provides information solutions and human resources business process outsourcing services for businesses, governments and consumers. It also provides database management, fraud detection, marketing, business credit, and analytical services.",http://www.equifax.com,EFX.png,Mark W. Begor,New York Stock Exchange,12994376048,Industrials,Industrials,Business Services, 
