ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
DWDP,DowDuPont Inc.,DowDuPont,Chemicals,"DowDuPont Inc is jointly owned by Dow and DuPont for the purpose of forming publicly traded companies in the agriculture, materials science and specialty products sectors.",http://www.dow-dupont.com,DWDP.png,Edward D. Breen,New York Stock Exchange,1.21E+11,Basic Materials,Basic Materials,Chemicals, 
LIN,Linde plc,Linde plc,Chemicals,"Praxair Inc is a supplier of gas in the United States. It produces, distributes and sells atmospheric and process gases and surface coatings in North America, Europe, South America, and Asia. Its products are oxygen, helium, nitrogen and specialty gases.",http://www.lindepraxairmerger.com,,Stephen F. Angel,New York Stock Exchange,92256189696,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
ECL,Ecolab Inc.,Ecolab,Chemicals,"Ecolab Inc produces and markets cleaning and sanitation products for the hospitality, healthcare, and industrial markets. It offers a variety of products and services, which include dish and laundry washing systems, pest control, and repair services.",http://www.ecolab.com,ECL.png,Douglas M. Baker,New York Stock Exchange,45982812417,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
SHW,Sherwin-Williams Company (The),Sherwin-Williams Company (The),Chemicals,"Sherwin-Williams Co provides architectural paint and paint related products; and provides coatings for original-equipment manufacturers. It conducts its operations in North and South America, the Caribbean region, Europe, Asia, and Australia.",http://www.sherwin.com,SHW.png,John G. Morikis,New York Stock Exchange,39356758614,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
APD,Air Products and Chemicals Inc.,Air Products and Chemicals,Chemicals,"Air Products & Chemicals Inc is a supplier of hydrogen and helium. It also provides semiconductor materials, refinery hydrogen, natural gas liquefaction and coatings and adhesives.",http://www.airproducts.com,APD.png,Seifollah Ghasemi,New York Stock Exchange,36652049816,Basic Materials,Basic Materials,Chemicals, 
LYB,LyondellBasell Industries NV Class A (Netherlands),LyondellBasell Industries NV (Netherlands),Chemicals,LyondellBasell Industries NV is a petrochemical producer operating in US and Europe. It produces polyethylene and propylene oxide used in various consumer and industrial end products.,http://www.lyb.com,LYB.png,,New York Stock Exchange,32892480000,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
PPG,PPG Industries Inc.,PPG Industries,Chemicals,"PPG Industries Inc is engaged in manufacturing and distributing coatings, specialty materials and glass products. It sells its products to a wide variety of end users, including the automotive, aerospace, construction, and industrial markets.",http://www.ppg.com,PPG.png,Michael H. McGarry,New York Stock Exchange,25599309527,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
IFF,Internationa Flavors & Fragrances Inc.,Internationa Flavors & Fragrances,Chemicals,"International Flavors & Fragrances Inc is engaged in manufacturing and supplying of flavors and fragrances for the food, beverage, personal care and household products industries either in the form of compounds or individual ingredients.",http://www.iff.com,,Andreas Fibig,New York Stock Exchange,15177246536,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
CE,Celanese Corporation,Celanese,Chemicals,Celanese Corp is a chemical producer. It focus is to produce industrial specialties and acetyl which are used in various end markets including coatings and adhesives. It also produces cellulose derivatives.,http://www.celanese.com,CE.png,Mark C. Rohr,New York Stock Exchange,13287517038,Basic Materials,Basic Materials,Chemicals, 
EMN,Eastman Chemical Company,Eastman Chemical Company,Chemicals,"Eastman Chemical Co is a advanced materials and specialty additives company that is engaged in producing and selling a portfolio of chemicals, plastics and fibers.",http://www.eastman.com,EMN.png,Mark J. Costa,New York Stock Exchange,11531083958,Basic Materials,Basic Materials,Chemicals, 
BAK,Braskem SA ADR,Braskem SA,Chemicals,"Braskem SA is a petrochemical company. It produces a diversified portfolio of petrochemical and thermoplastic products, thermoplastic resins, including polyethylene, polypropylene and PVC.",http://www.braskem.com.br,BAK.png,Fernando Musa,New York Stock Exchange,11394906298,Basic Materials,Basic Materials,Chemicals, 
SQM,Sociedad Quimica y Minera S.A.,Sociedad Quimica y Minera S.A.,Chemicals,"Sociedad Quimica Y Minera De Chile SA is an integrated producer of potassium nitrate and iodine chemicals. It also produces plant nutrients, potassium chloride, potassium sulfate and certain industrial chemicals including industrial nitrates.",http://www.sqm.com,SQM.png,Patricio T. de Solminihac,New York Stock Exchange,11225331749,Basic Materials,Basic Materials,Chemicals, 
WLK,Westlake Chemical Corporation,Westlake Chemical,Chemicals,"Westlake Chemical Corp is a manufacturer and supplier of basic chemicals, vinyls, polymers and fabricated products that enhance the daily lives of people around the planet. It operates in two principal business segments, Olefins and Vinyls.",http://www.westlake.com,WLK.png,Albert Chao,New York Stock Exchange,9968984877,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
ALB,Albemarle Corporation,Albemarle,Chemicals,"Albemarle Corp is a developer, manufacturer and marketer of engineered specialty chemicals. It provides services to end markets including petroleum refining, consumer electronics, construction, automotive, lubricants and pharmaceuticals.",http://www.albemarle.com,ALB.png,Luther C. Kissam,New York Stock Exchange,8702510217,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
RPM,RPM International Inc.,RPM International,Chemicals,"RPM International Inc manufactures, markets, and sells various specialty chemical product lines, including high-quality specialty paints, protective coatings, roofing systems, sealants and adhesives.",http://www.rpminc.com,RPM.png,Frank C. Sullivan,New York Stock Exchange,7565619817,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
CC,Chemours Company (The),Chemours Company (The),Chemicals,"The Chemours Co is a chemical manufacturing company that produces and develops titanium technologies, fluoroproducts and chemical solutions. It also produces refrigerants and industrial resins.",http://www.chemours.com,CC.png,Mark P. Vergnano,New York Stock Exchange,6378041307,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
AXTA,Axalta Coating Systems Ltd.,Axalta Coating Systems,Chemicals,"Axalta Coating Systems Ltd is a manufacturer, marketer, and distributor of high-performance coatings systems. It operates its business in two segments, performance coatings, and transportation coatings.",http://www.axaltacs.com,AXTA.png,Robert W. Bryant,New York Stock Exchange,6078480000,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
HUN,Huntsman Corporation,Huntsman,Chemicals,Huntsman Corp acts as a manufacturer of differentiated organic chemical products and of inorganic chemical products. Its products mainly comprise a broad range of chemicals and formulations which are used in various applications.,http://www.huntsman.com,HUN.png,Peter R. Huntsman,New York Stock Exchange,5364616065,Basic Materials,Basic Materials,Chemicals, 
GRA,W.R. Grace & Co.,W.R. Grace & Co.,Chemicals,"W R Grace & Co is engaged in the production and sale of specialty chemicals and specialty materials. It operates through two segments, namely Catalysts Technologies and Materials Technologies.",http://www.grace.com,GRA.png,Hudson La Force,New York Stock Exchange,4900957673,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
ASH,Ashland Global Holdings Inc.,Ashland Global,Chemicals,Ashland Global Holdings Inc is engaged in the chemical industry. Its chemical based products find application in a diverse range of industries.,http://www.ashland.com,ASH.png,William A. Wulfsohn,New York Stock Exchange,4791452362,Basic Materials,Basic Materials,Chemicals, 
NEU,NewMarket Corp,NewMarket,Chemicals,"NewMarket Corp manufactures and sells petroleum additives used in lubricating oils and fuels to enhance their performance in machinery, vehicles, and other equipment. The petroleum additives market has two products: lubricant additives and fuel additives.",http://www.newmarket.com,,Thomas E. Gottwald,New York Stock Exchange,4553230437,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
MEOH,Methanex Corporation,Methanex,Chemicals,"Methanex Corp is engaged in the production of chemicals. Its primary product is methanol, a commodity chemical that is used to make a range of industrial, consumer and energy products.",http://www.methanex.com,MEOH.png,John N. Floren,Nasdaq Global Select,4312835899,Basic Materials,Basic Materials,Chemicals, 
OLN,Olin Corporation,Olin,Chemicals,"Olin Corp is manufactures and sells chlor alkali products. It is engaged in three segments Chlor Alkali Products, Epoxy and Winchester.",http://www.olin.com,OLN.png,John E. Fischer,New York Stock Exchange,4285165502,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
NGVT,Ingevity Corporation,Ingevity,Chemicals,"Ingevity Corp manufactures and sells chemical products mainly in North America. Its business primarily depends on the sale of specialty chemicals for use in applications like asphalt paving, agrochemicals, and adhesives.",http://www.ingevity.com,NGVT.png,D. Michael Wilson,New York Stock Exchange,4072430864,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
VSM,Versum Materials Inc.,Versum Materials,Chemicals,"Versum Materials Inc is a provider of electronic materials for the integrated circuit and flat-panel display markets. It supplies specialty chemicals and materials, high-purity specialty gases, proprietary delivery systems, and related services.",https://www.versummaterials.com,VSM.png,Guillermo Novo,New York Stock Exchange,4041476885,Basic Materials,Basic Materials,Chemicals, 
ESI,Element Solutions Inc.,Element Solutions,Chemicals,Platform Specialty Products Corp is a producer of high technology specialty chemical products and provider of post-sale technical services.,http://www.platformspecialtyproducts.com,ESI.png,Rakesh Sachdev,New York Stock Exchange,3405174536,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
UNVR,Univar Inc.,Univar,Chemicals,"Univar Inc is a distributor of commodity and specialty chemicals. The company's chemicals portfolio includes acids and bases, surfactants, glycols, inorganic compounds, alcohols, as well as general and other specialty chemicals.",http://www.univar.com,UNVR.png,David Jukes,New York Stock Exchange,3029314134,Basic Materials,Basic Materials,Chemicals, 
CBT,Cabot Corporation,Cabot,Chemicals,"Cabot Corp is a specialty chemicals and performance materials Company. The Company offers rubber and specialty grade carbon blacks, fumed metal oxides, inkjet colorants, aerogel, cesium formate drilling fluids and activated carbon.",http://www.cabotcorp.com,CBT.png,Sean D. Keohane,New York Stock Exchange,2862321994,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
BCPC,Balchem Corporation,Balchem,Chemicals,Balchem Corp is a chemical manufacturer. It develops and sells chemical based ingredients for the food and pharmaceutical industries.,http://www.balchem.com,BCPC.png,Theodore L. Harris,Nasdaq Global Select,2751714587,Basic Materials,Basic Materials,Chemicals, 
KWR,Quaker Chemical Corporation,Quaker Chemical,Chemicals,"Quaker Chemical Corp manufactures and sells chemicals and chemical-based products. The company's product portfolio includes rolling lubricants, machining and grinding compounds, and corrosion preventives used by steel and aluminum manufacturers.",http://www.quakerchem.com,,Michael F. Barry,New York Stock Exchange,2714876510,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
SXT,Sensient Technologies Corporation,Sensient,Chemicals,"Sensient Technologies Corp operates in the chemical industry. It manufactures colors, flavors and fragrances used to develop foods and beverage systems, cosmetic and pharmaceuticals.",http://www.sensient.com,SXT.png,Paul Manning,New York Stock Exchange,2662482523,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
POL,PolyOne Corporation,PolyOne,Chemicals,"PolyOne Corp is a chemical manufacturer that provides specialized polymer materials, services and solutions with operations in specialty polymer formulations, color and additive systems, plastic sheet and packaging solutions and polymer distribution.",http://www.polyone.com,,Robert M. Patterson,New York Stock Exchange,2579796653,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
WDFC,WD-40 Company,WD-40 Company,Chemicals,"WD-40 Co develops and sells products that solve problems in workshops, factories and homes. The firm sells only WD-40 product. It has product groups maintenance products and homecare and cleaning products.",http://www.wd40company.com,WDFC.png,Garry O. Ridge,Nasdaq Global Select,2527365656,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
FUL,H. B. Fuller Company,H. B. Fuller Company,Chemicals,"H.B. Fuller Company is a formulator, manufacturer and marketer of adhesives, sealants and other specialty chemical products for applications in various markets, including automotive, electronics, construction products, durable assembly, and packaging.",http://www.hbfuller.com,FUL.png,James J. Owens,New York Stock Exchange,2493676072,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
PQG,PQ Group Holdings Inc.,PQ,Chemicals,"PQ Holdings Inc manufactures integrated manufacturer of specialty inorganic performance chemicals, specialty catalysts, and specialty glass materials. Its segments include performance chemicals, catalysts, and specialty glass materials.",http://www.pqcorp.com,PQG.png,Belgacem Chariag,New York Stock Exchange,2063689267,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
MTX,Minerals Technologies Inc.,Minerals,Chemicals,"Minerals Technologies Inc mines, produces, and sells mineral-based products. The company operates in four segments namely Specialty Minerals, Refractories, Performance Materials, and Energy Services segment.",http://www.mineralstech.com,MTX.png,Douglas T. Dietrich,New York Stock Exchange,2046218520,Basic Materials,Basic Materials,Chemicals, 
SCL,Stepan Company,Stepan Company,Chemicals,"Stepan Co, along with its subsidiaries produces specialty and intermediate chemicals, which are sold to other manufacturers and are used in end products. The company manufactures and markets surfactants, polymers and specialty products.",http://www.stepan.com,,F. Quinn Stepan,New York Stock Exchange,1957097413,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
GCP,GCP Applied Technologies Inc.,GCP Applied,Chemicals,"GCP Applied Technologies Inc produces and sells specialty construction chemicals, specialty building materials, and packaging sealants and coatings. The company earns the majority of its revenue from sale of concrete admixtures and cement additives.",http://www.gcpat.com,,Gregory E. Poling,New York Stock Exchange,1859728283,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
IOSP,Innospec Inc.,Innospec,Chemicals,"Innospec Inc develops, manufactures, blends, markets, and supplies fuel additives, oilfield chemicals, personal care and other specialty chemicals. Its segments are Fuel Specialties; Performance Chemicals, Oilfield Services, and Octane Additives.",http://www.innospecinc.com,IOSP.png,Patrick S. Williams,Nasdaq Global Select,1742186817,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
OEC,Orion Engineered Carbons S.A,Orion Engineered Carbons S.A,Chemicals,Orion Engineered Carbons SA is a producer of carbon black. The company's segment consists of Specialty Carbon Black and Rubber Carbon Black.,http://www.orioncarbons.com,,Jack Clem,New York Stock Exchange,1583197589,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
KRO,Kronos Worldwide Inc,Kronos Worldwide,Chemicals,"Kronos Worldwide Inc manufactures and sells titanium dioxide pigments which are used in a variety of products including coatings on automobiles, traffic paint, aircraft, machines, appliances, and in both commercial and residential interiors and exteriors.",http://www.kronostio2.com,,Robert D. Graham,New York Stock Exchange,1580981001,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
FOE,Ferro Corporation,Ferro,Chemicals,"Ferro Corp is a producer of specialty materials and chemicals that are sold to the manufacturers who, in turn, make products for many end-use markets. It offers electronic materials, color and glass performance materials, pigments, powders & oxides.",http://www.ferro.com,FOE.png,Peter T. Thomas,New York Stock Exchange,1408794614,Basic Materials,Basic Materials,Specialty Chemicals,Chemicals 
