ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
CSCO,Cisco Systems Inc.,Cisco Systems,Communication Equipment,"Cisco Systems Inc is a supplier of data networking equipment and software. Its products include routers, switches, access equipment, and security and network management software which allow data communication among dispersed computer networks.",http://www.cisco.com,CSCO.png,Charles H. Robbins,Nasdaq Global Select,2.13E+11,Technology,Technology,Communication Equipment, 
NOK,Nokia Corporation Sponsored American Depositary Shares,Nokia Sponsored American Depositary Shares,Communication Equipment,"Nokia Oyj is a telecommunication company. It develops network equipment to transmit data over wireless, copper, optical fiber, and microwave mediums. Its products are used by the world's largest telecommunication service providers.",http://www.nokia.com,NOK.png,Rajeev Suri,New York Stock Exchange,33831788276,Technology,Technology,Communication Equipment, 
ERIC,Ericsson,Ericsson,Communication Equipment,Telefonaktiebolaget L M Ericsson is a telecom services provider based in Sweden. It provides wireless telecommunication solutions globally.,http://www.ericsson.com,ERIC.png,Borje Ekholm,Nasdaq Global Select,29144975775,Technology,Technology,Communication Equipment, 
HPE,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,Communication Equipment,"Hewlett Packard Enterprise Co is a communication equipment company that provides servers, storage, networking and technology services. Its business segments are Enterprise Group, Software, Enterprise Services, Financial Services and Corporate Investments.",https://www.hpe.com,HPE.png,Antonio Fabio Neri,New York Stock Exchange,22085132331,Technology,Technology,Communication Equipment, 
MSI,Motorola Solutions Inc.,Motorola Solutions,Communication Equipment,"Motorola Solutions Inc is a communications equipment manufacturer. It provides communications infrastructure, devices such as two-way portable radios, and an array of communications network management and support services.",http://www.motorolasolutions.com,,Gregory Q. Brown,New York Stock Exchange,19578484457,Technology,Technology,Communication Equipment, 
HRS,Harris Corporation,Harris,Communication Equipment,"Harris Corp develops, manufactures and sells technology-based solutions that serve government and commercial customers' mission-critical challenges. Its products include communications systems, serving defense and public safety networks amongst other.",http://www.harris.com,HRS.png,William M. Brown,New York Stock Exchange,18526376467,Technology,Technology,Communication Equipment, 
JNPR,Juniper Networks Inc.,Juniper Networks,Communication Equipment,"Juniper Networks Inc operates in the communication equipment industry. It designs, develops and sells products and services that provide customers with network infrastructure. It caters to communication service providers and companies.",http://www.juniper.net,JNPR.png,Rami Rahim,New York Stock Exchange,8999460000,Technology,Technology,Communication Equipment, 
UBNT,Ubiquiti Networks Inc.,Ubiquiti Networks,Communication Equipment,Ubiquiti Networks Inc provides wireless and wireline network equipment for small Internet service providers and small- and midsize-business integrators.,http://www.ubnt.com,UBNT.png,Robert J. Pera,Nasdaq Global Select,7831189848,Technology,Technology,Communication Equipment, 
ZAYO,Zayo Group Holdings Inc.,Zayo,Communication Equipment,"Zayo Group Holdings Inc provides fiber-based communications infrastructure services. Its services include leased dark fiber, fiber to cellular towers and small cell sites, dedicated wavelength connections, Ethernet and other high-bandwidth offerings.",http://www.zayo.com,ZAYO.png,Daniel P. Caruso,New York Stock Exchange,6378927821,Technology,Technology,Communication Equipment, 
CIEN,Ciena Corporation,Ciena,Communication Equipment,"Ciena Corp is a network strategy and technology company. It provides network hardware, software and services that support the transport, switching, aggregation, service delivery and management of video, data, and voice traffic on communications networks.",http://www.ciena.com,CIEN.png,Gary B. Smith,New York Stock Exchange,5943179600,Technology,Technology,Communication Equipment, 
