ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
VZ,Verizon Communications Inc.,Verizon Communications,Communication Services,"Verizon Communications Inc is a provider of communications, information and entertainment products and services to consumers, businesses and governmental agencies. It offers voice, data and video services and solutions to wireless and wireline networks.",http://www.verizon.com,VZ.png,Hans Erik Vestberg,New York Stock Exchange,2.24E+11,Communication Services,Communication Services,Telecom Services, 
CHL,China Mobile Limited,China Mobile Limited,Communication Services,"China Mobile Ltd is a telecom operator in China. It provides cellular telecommunications and related services. The company offers voice services, voice value-added services and telecommunications network planning.",http://www.chinamobileltd.com,CHL.png,Yue Li,New York Stock Exchange,2.17E+11,Communication Services,Communication Services,Telecom Services, 
T,AT&T Inc.,AT&T,Communication Services,"AT&T Inc is engaged in provision of communications and digital entertainment services in the United States and the world. It provides fixed-line services, including voice, data, and television services to consumers and small businesses.",http://www.att.com,T.png,Randall L. Stephenson,New York Stock Exchange,2.15E+11,Communication Services,Communication Services,Telecom Services, 
CMCSA,Comcast Corporation Class A Common Stock,Comcast Common Stock,Communication Services,"Comcast Corp is a media and technology company. It mainly involves in the cable industry and owns Comcast Cable, E!, NBCUniversal, and the NBC broadcast network.",https://corporate.comcast.com,CMCSA.png,Brian L. Roberts,Nasdaq Global Select,1.66E+11,Communication Services,Communication Services,Pay TV, 
CHTR,Charter Communications Inc.,Charter Communications,Communication Services,"Charter Communications Inc is a providers of cable services in the United States. The company offers entertainment, information and communications solutions to residential and commercial customers.",http://www.charter.com,CHTR.png,Thomas M. Rutledge,Nasdaq Global Select,75944233296,Communication Services,Communication Services,Pay TV, 
AMT,American Tower Corporation (REIT),American Tower (REIT),Communication Services,"American Tower Corp is a real estate investment trust and an owner, operator and developer of multitenant communications real estate. The company leases the space of communications sites to wireless service providers, and wireless data providers.",http://www.americantower.com,AMT.png,James D. Taiclet,New York Stock Exchange,75296994959,Communication Services,Communication Services,Telecom Services, 
TMUS,T-Mobile US Inc.,T-Mobile US,Communication Services,"T-Mobile US Inc is a US-based wireless company which provides wireless communications services, including voice, messaging and data in the postpaid, prepaid and wholesale markets. It also provides wireless devices and accessories.",http://www.t-mobile.com,TMUS.png,John J. Legere,Nasdaq Global Select,57885855891,Communication Services,Communication Services,Telecom Services, 
AMX,America Movil S.A.B. de C.V.n Depository Receipt Series L,America Movil S.A.B. de C.V.n Depository Receipt Series L,Communication Services,"America Movil SAB de CV is a telecom company. It provides telecommunications services in various countries which include wireless service, fixed-line, broadband and Pay TV services.",http://www.americamovil.com,AMX.png,Daniel Hajj Aboumrad,New York Stock Exchange,53518848887,Communication Services,Communication Services,Telecom Services, 
AMOV,America Movil S.A.B. de C.V. Class An Depositary Shares,America Movil S.A.B. de C.V. An Depositary Shares,Communication Services,"America Movil SAB de CV is a telecom company. It provides telecommunications services in various countries which include wireless service, fixed-line, broadband and Pay TV services.",http://www.americamovil.com,AMOV.png,Daniel Hajj Aboumrad,New York Stock Exchange,52825514016,Communication Services,Communication Services,Telecom Services, 
VOD,Vodafone Group Plc,Vodafone Plc,Communication Services,Vodafone Group PLC is one of the largest wireless phone companies in the world. Its main line of business involves the provision of wireless mobile and data services to various parts of the world.,http://www.vodafone.com,VOD.png,Nicholas Jonathan Read,Nasdaq Global Select,48831523745,Communication Services,Communication Services,Telecom Services, 
TEF,Telefonica SA,Telefonica SA,Communication Services,"Telefonica SA is a telecommunications group which provides fixed and mobile telephony, broadband, internet, data traffic, pay TV and other digital services. It serves over 300 million clients across more than 20 countries.",http://www.telefonica.com,TEF.png,Jose Maria Alvarez-Pallete Lopez,New York Stock Exchange,45301348960,Communication Services,Communication Services,Telecom Services, 
CHA,China Telecom Corp Ltd ADS,China Telecom ADS,Communication Services,"China Telecom Corp Ltd offers a range of wireline and mobile telecommunications services including wireline voice, mobile voice, the Internet, telecommunications network resource services, value-added services, and other related services.",http://www.chinatelecom-h.com,CHA.png,Yang Jie,New York Stock Exchange,42982985200,Communication Services,Communication Services,Telecom Services, 
