ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
AAPL,Apple Inc.,Apple,Computer Hardware,"Apple Inc is designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications.",http://www.apple.com,AAPL.png,Timothy D. Cook,Nasdaq Global Select,8.07E+11,Technology,Technology,Consumer Electronics,Computer Hardware 
SNE,Sony Corporation,Sony,Computer Hardware,"Sony Corp is engaged in the development, design, manufacture, and sale of various kinds of electronic equipment, instruments and devices for consumer, professional and industrial markets as well as game consoles and software.",http://www.sony.net,SNE.png,Kenichiro Yoshida,New York Stock Exchange,58357087796,Technology,Technology,Consumer Electronics,Computer Hardware 
DELL,Dell Technologies Inc. Class C,Dell C,Computer Hardware,,,,,New York Stock Exchange,36518030972,Technology,Technology,Software - Infrastructure,Application Software 
HPQ,HP Inc.,HP,Computer Hardware,"HP Inc provides products, technologies, software, solutions and services to individual consumers, small- and medium-sized businesses including customers in the government, health and education sectors.",http://www.hp.com,HPQ.png,Dion J. Weisler,New York Stock Exchange,35031301133,Technology,Technology,Computer Systems,Computer Hardware 
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,TE Connectivity New Switzerland Registered Shares,Computer Hardware,"TE Connectivity Ltd is an electronic component producer. The company manufactures and designs products such as antennas, cable assemblies, fiber optics, sensors, relays and switches that are used in various application.",http://www.te.com,TEL.png,Terrence R. Curtin,New York Stock Exchange,27411629438,Technology,Technology,Electronic Components,Computer Hardware 
APH,Amphenol Corporation,Amphenol,Computer Hardware,"Amphenol Corp is engaged in the field of electronic components. It designs and manufactures electrical, electronic and fiber optic connectors, interconnect systems and coaxial and flat-ribbon cables.",http://www.amphenol.com,APH.png,Richard Adam Norwitt,New York Stock Exchange,26670464984,Technology,Technology,Electronic Components,Computer Hardware 
GLW,Corning Incorporated,Corning Incorporated,Computer Hardware,"Corning Inc is the leading manufacturer and supplier of specialty glass and ceramics. Its segments are Display Technologies, Optical Communications, Environmental Technologies, Specialty Materials and Life Sciences.",http://www.corning.com,GLW.png,Wendell P. Weeks,New York Stock Exchange,26437400000,Technology,Technology,Electronic Components,Computer Hardware 
FTV,Fortive Corporation,Fortive,Computer Hardware,"Fortive Corp is a United States based company diversified industrial growth company. It has two business segments namely, Professional Instrumentation and Industrial Technologies.",http://www.fortive.com,FTV.png,James A. Lico,New York Stock Exchange,24813444436,Technology,Technology,Scientific & Technical Instruments,Computer Hardware 
NTAP,NetApp Inc.,NetApp,Computer Hardware,"NetApp Inc provides technology solutions. It is engaged in the design, manufacturing, marketing, and technical support of high-performance storage and data management solutions. Its core product offering icnlude data storage devices such as flash drives.",http://www.netapp.com,,George Kurian,Nasdaq Global Select,17075349364,Technology,Technology,Data Storage,Computer Hardware 
ANET,Arista Networks Inc.,Arista Networks,Computer Hardware,"Arista Networks Inc is a supplier of cloud networking solutions that use software innovations to address the needs of large-scale Internet companies, cloud service providers, and next-generation data centers for enterprise support.",http://www.arista.com,ANET.png,Jayshree Ullal,New York Stock Exchange,16475585139,Technology,Technology,Computer Systems,Computer Hardware 
