ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
IEP,Icahn Enterprises L.P.,Icahn Enterprises,Conglomerates,Icahn Enterprises LP owns a diverse range of businesses in the United States. Its most revenue generating segment is the Automotive segment.,http://www.ielp.com,,Keith Cozza,Nasdaq Global Select,12509287892,Industrials,Industrials,Conglomerates, 
CSL,Carlisle Companies Incorporated,Carlisle Companies Incorporated,Conglomerates,"Carlisle Companies Inc manufactures construction materials. Its products include insulation materials, rubber, thermoplastic polyolefin, and polyvinyl chloride roofing membranes used predominantly on non-residential low-sloped roofs.",http://www.carlisle.com,CSL.png,D. Christian Koch,New York Stock Exchange,6562401549,Industrials,Consumer Cyclical,Rubber & Plastics,Autos 
SEB,Seaboard Corporation,Seaboard,Conglomerates,"Seaboard Corp is an agribusiness and transportation company. The group operates six business segments, pork, commodity trading and milling, marine, sugar, power, and turkey.",http://www.seaboardcorp.com,SEB.png,Steven J. Bresky,NYSE American,4412973500,Industrials,Industrials,Conglomerates, 
BBU,Brookfield Business Partners L.P. Limited Partnership Units,Brookfield Business Partners Limited Partnership Units,Conglomerates,"Brookfield Business Partners LP are business services and industrial company focused on owning & operating businesses. Its principal business service operations include construction services, residential real estate services and facilities management.",http://www.bbu.brookfield.com,BBU.png,Cyrus Madon,New York Stock Exchange,2172879748,Industrials,Industrials,Conglomerates, 
MATW,Matthews International Corporation,Matthews International,Conglomerates,"Matthews International Corp is a designer, manufacturer and marketer of memorialization products and brand solutions. Its products and services include cast bronze memorials, caskets, cast and etched architectural products, cremation equipment and others.",http://www.matw.com,,Joseph C. Bartolacci,Nasdaq Global Select,1240906846,Industrials,Consumer Cyclical,Personal Services,Industrials 
CCC,Churchill Capital Corp Class A,Churchill Capital,Conglomerates,,,,Jerre L. Stead,New York Stock Exchange,941850000,Industrials,Industrials,Conglomerates, 
CODI,Compass Diversified Holdings Shares of Beneficial Interest,Compass Diversified Shares of Beneficial Interest,Conglomerates,"Compass Diversified Holdings is a diversified businesses conglomerate. Through its holdings in multiple companies, it provides waste management services, baby products, hemp-based foods, printed circuit boards and others.",http://www.compasstrust.com,CODI.png,Elias J. Sabo,New York Stock Exchange,904490000,Industrials,Industrials,Conglomerates, 
IPOA,Social Capital Hedosophia Holdings Corp. Class A par value $0.0001,Social Capital Hedosophia par value $0.0001,Conglomerates,Social Capital Hedosophia Holdings Corp is a blank check company.,,,Chamath Palihapitiya,New York Stock Exchange,867675000,Industrials,Industrials,Conglomerates, 
GSAH,GS Acquisition Holdings Corp. Class A,GS Acquisition,Conglomerates,GS Acquisition Holdings Corp is a blank check company.,,,David M. Cote,New York Stock Exchange,847837500,Industrials,Industrials,Conglomerates, 
FPAC,Far Point Acquisition Corporation Class A,Far Point Acquisition,Conglomerates,,,,Thomas W. Farley,New York Stock Exchange,766285525,Industrials,Industrials,Conglomerates, 
