ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
V,Visa Inc.,Visa,Credit Services,"Visa Inc is a payments technology company working to enable consumers, businesses, banks and governments to use fast, secure and reliable digital currency. The Company operates processing networks - VisaNet.",http://www.corporate.visa.com,,Alfred F. Kelly,New York Stock Exchange,3.47E+11,Financial Services,Financial Services,Credit Services, 
MA,Mastercard Incorporated,Mastercard Incorporated,Credit Services,Mastercard Inc is a technology company that generates revenue by charging fees to its customers based on both the dollar volume of card activity and the number of transactions processed through the network.,http://www.mastercard.com,MA.png,Ajay Banga,New York Stock Exchange,2.40E+11,Financial Services,Financial Services,Credit Services, 
PYPL,PayPal Holdings Inc.,PayPal,Credit Services,"PayPal Holdings Inc is a technology platform company that enables digital and mobile payments on behalf of consumers and merchants. The company's payments platform includes PayPal, PayPal Credit, Venmo, Xoom and Braintree products.",https://www.paypal.com,PYPL.png,Daniel H. Schulman,Nasdaq Global Select,1.08E+11,Financial Services,Financial Services,Credit Services, 
AXP,American Express Company,American Express Company,Credit Services,"American Express Co is a payments, network and travel company. It provides charge and credit card products, travel services, network services, stored value products, loans, and other products and services to businesses and individuals.",http://www.americanexpress.com,AXP.png,Stephen J. Squeri,New York Stock Exchange,88347755666,Financial Services,Financial Services,Credit Services, 
COF,Capital One Financial Corporation,Capital One Financial,Credit Services,"Capital One Financial Corp operates in the financial domain. Through its banking and non-banking subsidiaries, it markets financial products and services.",http://www.capitalone.com,COF.png,Richard D. Fairbank,New York Stock Exchange,38066103000,Financial Services,Financial Services,Credit Services, 
DFS,Discover Financial Services,Discover Financial Services,Credit Services,"Discover Financial Services is engaged in direct consumer banking business. It mainly provides banking services such as accepting deposits, offering credit card, residential mortgage, loans and other banking facilities to its customers.",http://www.discover.com,DFS.png,Roger C. Hochschild,New York Stock Exchange,22878720000,Financial Services,Financial Services,Credit Services, 
SYF,Synchrony Financial,Synchrony Financial,Credit Services,"Synchrony Financial provides consumer financial products services to the diverse group of national and regional retailers, local merchants, manufacturers, buying groups, industry associations and healthcare service providers.",https://www.synchronyfinancial.com,SYF.png,Margaret M. Keane,New York Stock Exchange,21442414500,Financial Services,Financial Services,Credit Services, 
IX,Orix Corp Ads,Orix Ads,Credit Services,"ORIX Corp is a diversified financial services company with operations in Corporate Financial Services, Maintenance Leasing, Real Estate, Investment and Operation, Retail and Overseas Business.",http://www.orix.co.jp,IX.png,Makoto Inoue,New York Stock Exchange,19224219004,Financial Services,Financial Services,Credit Services, 
TSS,Total System Services Inc.,Total System Services,Credit Services,"Total System Services Inc is a payment solutions provider. It provides services to financial and nonfinancial institutions. Its services include issuing services, acquiring services, prepaid solutions and merchant solutions.",http://www.tsys.com,TSS.png,M. Troy Woods,New York Stock Exchange,16811981184,Financial Services,Financial Services,Credit Services, 
ADS,Alliance Data Systems Corporation,Alliance Data Systems,Credit Services,"Alliance Data Systems Corp provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries. The business activity of the group is functioned through LoyaltyOne, Epsilon, and Card service segment.",http://www.alliancedata.com,,Edward J. Heffernan,New York Stock Exchange,9861341688,Financial Services,Financial Services,Credit Services, 
WU,Western Union Company (The),Western Union Company (The),Credit Services,"The Western Union Co is a provider of money movement and payment services. The company provides flexible and convenient options for making one-time or recurring payments. Its segments are Consumer-to-Consumer, Consumer-to-Business and Business Solutions.",http://www.westernunion.com,WU.png,Hikmet Ersek,New York Stock Exchange,8220714071,Financial Services,Financial Services,Credit Services, 
CACC,Credit Acceptance Corporation,Credit Acceptance,Credit Services,Credit Acceptance Corp is a consumer finance company that offers automobile dealers financing programs that enables them to sell vehicles to consumers regardless of their credit history.,http://www.creditacceptance.com,,Brett A. Roberts,Nasdaq Global Select,8095590499,Financial Services,Financial Services,Credit Services, 
SLM,SLM Corporation,SLM,Credit Services,"SLM Corp is a saving, planning and paying for college company providing private education loans to students or their families. It operates a consumer savings network that provides financial rewards on everyday purchases to help families save for college.",http://www.salliemae.com,SLM.png,Raymond J. Quinlan,Nasdaq Global Select,4665934172,Financial Services,Financial Services,Credit Services, 
OMF,OneMain Holdings Inc.,OneMain,Credit Services,OneMain Holdings Inc is a consumer finance company that provides loan products to non-prime customers.,https://www.onemainfinancial.com,,Douglas H. Shulman,New York Stock Exchange,4099626566,Financial Services,Financial Services,Credit Services, 
GDOT,Green Dot Corporation Class A $0.001 par value,Green Dot $0.001 par value,Credit Services,Green Dot Corp is a financial technology company. The firm provides financial services for consumers in the United States such as Account Services GoBank mobile checking and Visa- or Mastercard-branded prepaid debit cards.,https://www.greendot.com,GDOT.png,Steven Streit,New York Stock Exchange,3953671856,Financial Services,Financial Services,Credit Services, 
