ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
JNJ,Johnson & Johnson,Johnson & Johnson,Drug Manufacturers,"Johnson & Johnson is a holding company, which is engaged in the research and development, manufacture and sale of products in the health care field within its Consumer, Pharmaceutical and Medical Devices segments.",http://www.jnj.com,JNJ.png,Alex Gorsky,New York Stock Exchange,3.58E+11,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
PFE,Pfizer Inc.,Pfizer,Drug Manufacturers,"Pfizer Inc is a biopharmaceutical company that discovers, develops, manufactures, and markets healthcare products including medicines, and vaccines as well as many of the consumer healthcare products.",http://www.pfizer.com,PFE.png,Albert Bourla,New York Stock Exchange,2.45E+11,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
NVS,Novartis AG,Novartis AG,Drug Manufacturers,"Novartis AG is a part of the healthcare industry. Its main activity is to research and develop healthcare products and pharmaceuticals such as oncology medicines, generic and biosimilar medicines and eye care devices.",http://www.novartis.com,NVS.png,Joseph Jimenez,New York Stock Exchange,2.06E+11,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
MRK,Merck & Company Inc. (new),Merck & Company (new),Drug Manufacturers,"Merck & Co Inc is a health care company that delivers health solutions through its prescription medicines, vaccines, biologic therapies and animal health products.",http://www.merck.com,MRK.png,Kenneth C. Frazier,New York Stock Exchange,2.02E+11,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
LLY,Eli Lilly and Company,Eli Lilly and Company,Drug Manufacturers,"Eli Lilly and Co is a pharmaceutical company with a focus on neuroscience, endocrinology, oncology, and immunology. It discovers, develops, manufactures, and sells human pharmaceutical products and animal health products.",http://www.lilly.com,LLY.png,David A. Ricks,New York Stock Exchange,1.28E+11,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
ABBV,AbbVie Inc.,AbbVie,Drug Manufacturers,"AbbVie Inc is a biopharmaceutical company that discovers, develops, manufactures and sells a range of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.",http://www.abbvie.com,ABBV.png,Richard A. Gonzalez,New York Stock Exchange,1.18E+11,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
SNY,Sanofi,Sanofi,Drug Manufacturers,"Sanofi SA is healthcare company which is engaged in the research, development, manufacture and marketing of therapeutic solutions. It business activities include operations of specialty care, Established Prescription Products and vaccines operations.",http://www.sanofi.com,SNY.png,Olivier Brandicourt,Nasdaq Global Select,1.08E+11,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
GSK,GlaxoSmithKline PLC,GlaxoSmithKline PLC,Drug Manufacturers,"GlaxoSmithKline PLC creates, discovers, develops, manufactures and markets pharmaceutical products including respiratory and antiviral, vaccines, over-the-counter (OTC) medicines and health-related consumer products.",http://www.gsk.com,GSK.png,Emma N Walmsley,New York Stock Exchange,97163533442,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
AZN,Astrazeneca PLC,Astrazeneca PLC,Drug Manufacturers,"AstraZeneca PLC belongs to the healthcare sector. The company develops and markets pharmaceutical products for various therapeutic classes such as gastrointestinal, cardiovascular, respiratory, cancer, immunology, and neuroscience.",http://www.astrazeneca.com,AZN.png,Pascal Soriot,New York Stock Exchange,93157298457,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,Drug Manufacturers,"Bristol-Myers Squibb Co is engaged in discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceuticals products. The company operates in one segment that is Biopharmaceuticals.",http://www.bms.com,BMY.png,Giovanni Caforio,New York Stock Exchange,83010825774,Healthcare,Healthcare,Drug Manufacturers - Major,Drug Manufacturers 
