ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
TAL,TAL Education Group American Depositary Shares,TAL Education American Depositary Shares,Education,"TAL Education Group is engaged in providing after-school tutoring programs for primary and secondary school students in China. It delivers its tutoring services through small classes, personalized premium services, and online course offerings.",http://www.100tal.com,,Bangxin Zhang,New York Stock Exchange,17992563874,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 (Cayman Islands),New Oriental Education & Technology Sponsored representing 1 (Cayman Islands),Education,"New Oriental Education & Technology Group Inc provides private educational services in China based on the number of program offerings, total student enrollments, and geographic presence.",http://www.neworiental.org,,Chenggang Zhou,New York Stock Exchange,12157385889,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
LOPE,Grand Canyon Education Inc.,Grand Canyon Education,Education,"Grand Canyon Education Inc is an American for-profit educational company that operates a private university in Phoenix, Arizona, as well as online educational programs.",http://www.gcu.edu,LOPE.png,Brian E. Mueller,Nasdaq Global Select,4493977225,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
CHGG,Chegg Inc.,Chegg,Education,Chegg Inc is a student-first connected learning platform empowering students to take control of their education to save time and money. It offers its products and services under Chegg services and required materials categories.,http://www.chegg.com,CHGG.png,Daniel L. Rosensweig,New York Stock Exchange,4107587985,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
LAUR,Laureate Education Inc.,Laureate Education,Education,Laureate Education Inc is an international community of universities. The company provides higher education programs and services to students through an international network of licensed universities and higher education institutions.,http://www.laureate.net,LAUR.png,Eilif Serck-Hanssen,Nasdaq Global Select,3571211675,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
GHC,Graham Holdings Company,Graham Company,Education,"Graham Holdings Co is an education and media company that provides educational services; television broadcasting; online, print and local TV news; home health and hospice care; and manufacturing. It provides a range of education and related services.",http://www.ghco.com,GHC.png,Timothy J. O¿Shaughnessy,New York Stock Exchange,3529274931,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
ATGE,Adtalem Global Education Inc.,Adtalem Global Education,Education,"Adtalem Global Education Inc is a provider of educational services. The company offers programs in business, healthcare, professional education, and technology and business.",http://www.adtalem.com,ATGE.png,Lisa W. Wardell,New York Stock Exchange,2916689250,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
STRA,Strategic Education Inc.,Strategic Education,Education,"Strayer Education Inc provides academic programs through Strayer University. It offers undergraduate and graduate degrees in the fields including business administration, accounting, information technology, and health services administration.",https://www.strategiceducation.com,STRA.png,Karl McDonnell,Nasdaq Global Select,2465523497,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each representing one Class A,Bright Scholar Education Limited American Depositary Shares each representing one,Education,Bright Scholar Education Holdings Ltd operates international and bilingual K-12 schools in the People's republic of China (PRC). The company offers a broad range of internationally-accredited curriculum in its international schools.,http://www.brightscholar.com,,Junli He,New York Stock Exchange,1319787149,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
HMHC,Houghton Mifflin Harcourt Company,Houghton Mifflin Harcourt Company,Education,"Houghton Mifflin Harcourt Co provides content, services and technology to both educational institutions and consumers, reaching over 50 million students in more than 150 countries. It also published trade and reference materials.",http://www.hmhco.com,HMHC.png,John J. Lynch,Nasdaq Global Select,1292450801,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
LRN,K12 Inc,K12,Education,K12 Inc is a technology-based education company. It offers alternative programs to traditional on-campus schooling. It also operates state-funded virtual charter schools around the United States.,http://www.k12.com,LRN.png,Nathaniel A. Davis,New York Stock Exchange,1282350704,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
ONE,OneSmart International Education Group Limited ADS,OneSmart International Education Limited ADS,Education,"OneSmart International Education Group Ltd provides education services. It offers K-12 after-school education platform that encompasses acclaimed premium tutoring services, premium young children education services and language and culture programs.",http://www.onesmart.org,,Xi Zhang,New York Stock Exchange,1280631286,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
STG,Sunlands Online Education Group American Depositary Shares representing Class A,Sunlands Online Education American Depositary Shares representing,Education,Sunlands Online Education Group is engaged in providing online education service in the People's Republic of China. It offers various degree- and diploma-oriented post-secondary courses through its online platforms.,http://www.sunlands.com,,Tongbo Liu,New York Stock Exchange,944950432,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
CECO,Career Education Corporation,Career Education,Education,"Career Education Corp is associated with the education industry. Its universities offer doctoral, master's, bachelor's and associate degrees, as well as diplomas and certificates.",http://www.careered.com,CECO.png,Todd S. Nelson,Nasdaq Global Select,940378172,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
HLG,Hailiang Education Group Inc.,Hailiang Education,Education,"Hailiang Education Group Inc is provider of private K-12 educational services in China. It operates centrally managed schools including Zhuji Hailiang Foreign Language School, Zhuji Private High School and Tianma Experimental School.",http://www.hailiangschool.com,,Ming Wang,NASDAQ Global Market,866403319,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
LAIX,LAIX Inc. American Depositary Shares each representing one Class A,LAIX American Depositary Shares each representing one,Education,,https://www.liulishuo.com,,Yi Wang,New York Stock Exchange,606595722,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
REDU,RISE Education Cayman Ltd,RISE Education Cayman,Education,"RISE Education Cayman Ltd through its subsidiaries provides junior English Language Training services in China under RISE brand. It offers educational programs, services & products, consisting of educational courses, and other complementary products.",http://www.risecenter.com,,Yiding Sun,NASDAQ Global Market,546094250,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
NEW,Puxin Limited American Depositary Shares each representing two,Puxin Limited American Depositary Shares each representing two,Education,Puxin Ltd provides education services. The company's segments consists of K-12 tutoring services and Study abroad tutoring services. It generates a majority of its revenue from the K-12 tutoring services segment.,http://www.pxjy.com,,Yunlong Sha,New York Stock Exchange,503934672,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
APEI,American Public Education Inc.,American Public Education,Education,American Public Education Inc is a provider of online and campus-based postsecondary education.,http://www.americanpubliceducation.com,,Wallace E. Boston,Nasdaq Global Select,491247553,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
TEDU,Tarena International Inc.,Tarena International,Education,"Tarena International Inc through its subsidiaries provides professional education services in China. It offers courses in IT subjects, non-IT subjects and kid education programs.",http://www.tarena.com.cn,TEDU.png,Shaoyun Han,Nasdaq Global Select,361400700,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
FC,Franklin Covey Company,Franklin Covey Company,Education,"Franklin Covey Co is a performance improvement company. It provides training & consulting services to both organizations & individuals. The company also provide clients with training in management skills, relationship skills & individual effectiveness.",http://www.franklincovey.com,FC.png,Robert A. Whitman,New York Stock Exchange,342242164,Consumer Defensive,Consumer Defensive,Education & Training Services,Education 
