ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
RHI,Robert Half International Inc.,Robert Half International,Employment Services,"Robert Half International Inc is a staffing agency providing specialized staffing and risk consulting services through divisions such as Accountemps, Robert Half Finance & Accounting, OfficeTeam, Robert Half Technology, and others.",http://www.roberthalf.com,RHI.png,Harold M. Messmer,New York Stock Exchange,7739174289,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
MAN,ManpowerGroup,ManpowerGroup,Employment Services,"ManpowerGroup Inc is engaged in the employment services industry. It offers permanent, temporary and contract recruitment services; assessment and selection services; training and development services; outsourcing services, and among others.",http://www.manpowergroup.com,,Jonas Prising,New York Stock Exchange,4867684680,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
NSP,Insperity Inc.,Insperity,Employment Services,Insperity Inc is engaged in providing human resources and business solutions designed to improve business performance. Its product offerings are provided through its Workforce Optimization and Workforce Synchronization solutions.,http://www.insperity.com,NSP.png,Paul J. Sarvadi,New York Stock Exchange,4514232718,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
JOBS,51job Inc.,51job,Employment Services,51job Inc is a provider of integrated human resource services in China. It provides these services in two categories: Recruitment Advertising Services and Other Human Resource Related Services.,http://www.51job.com,JOBS.png,Rick Yan,Nasdaq Global Select,4422237024,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
ASGN,ASGN Incorporated,ASGN Incorporated,Employment Services,"ASGN Inc, formerly On Assignment Inc provides skilled and professionals in the growing life sciences, healthcare, and technology sectors. The company's operating business segments are Apex and Oxford.",https://www.asgn.com,ASGN.png,Peter T. Dameris,New York Stock Exchange,3338588458,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
KFY,Korn Ferry,Korn Ferry,Employment Services,"Korn/Ferry International is a management recruitment firm. It provides talent management solutions that help clients to attract, develop, retain and sustain their talent.",http://www.kornferry.com,KFY.png,Gary D. Burnison,New York Stock Exchange,2639357358,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
TBI,TrueBlue Inc.,TrueBlue,Employment Services,"TrueBlue Inc is a provider of staffing and workforce-management solutions. It services are blue-collar staffing services including general labor, light industrial, skilled trades, aviation and transportation mechanics and technicians and drivers.",http://www.trueblue.com,TBI.png,A. Patrick Beharelle,New York Stock Exchange,990269484,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
KELYA,Kelly Services Inc. Class A Common Stock,Kelly Services Common Stock,Employment Services,"Kelly Services Inc is a provider of workforce solutions and consulting and staffing services. The company assigns professional and technical employees in the fields of education, legal, health care, and creative services.",http://www.kellyservices.com,KELYA.png,George S. Corona,Nasdaq Global Select,892384805,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
KFRC,Kforce Inc.,Kforce,Employment Services,Kforce Inc is a staffing solutions provider. It specializes in proving professional and technical staffing services to varied markets.,http://www.kforce.com,KFRC.png,David L. Dunkel,Nasdaq Global Select,871751651,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
KELYB,Kelly Services Inc. Class B Common Stock,Kelly Services B Common Stock,Employment Services,"Kelly Services Inc is a provider of workforce solutions and consulting and staffing services. The company assigns professional and technical employees in the fields of education, legal, health care, and creative services.",http://www.kellyservices.com,KELYB.png,George S. Corona,Nasdaq Global Select,855461217,Industrials,Industrials,Staffing & Outsourcing Services,Employment Services 
