ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
DIS,The Walt Disney Company,The Walt Disney Company,Entertainment,"Walt Disney Co together with its subsidiaries is a diversified worldwide entertainment company with operations in four business segments: Media Networks, Parks and Resorts, Studio Entertainment, and Consumer Products & Interactive Media.",http://www.disney.com,DIS.png,Robert A. Iger,New York Stock Exchange,1.67E+11,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
NFLX,Netflix Inc.,Netflix,Entertainment,"Netflix Inc provides multimedia content through the internet. It provides a subscription based platform for television shows, movies and original series.",http://www.netflix.com,NFLX.png,Reed Hastings,Nasdaq Global Select,1.56E+11,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
FOX,Twenty-First Century Fox Inc.,Twenty-First Century Fox,Entertainment,"Twenty-First Century Fox Inc is a diversified media and entertainment company. It operates in various business segments namely Cable Network Programming, Television, Filmed Entertainment, and Direct Broadcast Satellite Television.",http://www.21cf.com,FOX.png,James R. Murdoch,Nasdaq Global Select,91086175473,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
FOXA,Twenty-First Century Fox Inc.,Twenty-First Century Fox,Entertainment,"Twenty-First Century Fox Inc is a diversified media and entertainment company. It operates in various business segments namely Cable Network Programming, Television, Filmed Entertainment, and Direct Broadcast Satellite Television.",http://www.21cf.com,FOXA.png,James R. Murdoch,Nasdaq Global Select,60180130579,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
SIRI,Sirius XM Holdings Inc.,Sirius XM,Entertainment,"Sirius XM Holdings Inc is a radio company. It offers commercial-free music, sports and live events, news and comedy, exclusive talk and entertainment, and a range of Latin commercial-free music and sports.",http://www.siriusxm.com,SIRI.png,James E. Meyer,Nasdaq Global Select,26596156648,Consumer Cyclical,Consumer Cyclical,Broadcasting - Radio,Entertainment 
CBS,CBS Corporation Class B,CBS B,Entertainment,"CBS Corp is a media company. It operates businesses within the media and entertainment industries, including cable networks, content production and distribution, television and radio stations, Internet-based businesses, and consumer publishing.",http://www.cbscorporation.com,CBS.png,Joseph R. Ianniello,New York Stock Exchange,18531357481,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
DISCB,Discovery Inc. Series B Common Stock,Discovery Series B Common Stock,Entertainment,Discovery Inc formerly known as Discovery Communications Inc is a media and entertainment company. It provides programming across multiple distribution platforms.,http://www.discoverycommunications.com,DISCB.png,David M. Zaslav,Nasdaq Global Select,18257070417,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
DISCA,Discovery Inc. Series A Common Stock,Discovery Series Common Stock,Entertainment,Discovery Inc formerly known as Discovery Communications Inc is a media and entertainment company. It provides programming across multiple distribution platforms.,http://www.discoverycommunications.com,DISCA.png,David M. Zaslav,Nasdaq Global Select,14809821422,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
DISCK,Discovery Inc.,Discovery,Entertainment,Discovery Inc formerly known as Discovery Communications Inc is a media and entertainment company. It provides programming across multiple distribution platforms.,http://www.discoverycommunications.com,DISCK.png,David M. Zaslav,Nasdaq Global Select,13888461022,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
VIA,Viacom Inc.,Viacom,Entertainment,"Viacom Inc is a global media company. It creates compelling television programs, motion pictures, short-form content, applications and games. Its brands include MTV, VH1, CMT, Logo, BET, Nickelodeon, Comedy central, TV Land, SPIKE, Tr3s, and VIVA.",http://www.viacom.com,VIA.png,Robert M. Bakish,Nasdaq Global Select,13687820514,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,Liberty Media Series C Liberty SiriusXM Common Stock,Entertainment,"Liberty SiriusXM Group through its subsidiary holding is engaged in providing a subscription based satellite radio service. It transmits music, sports, entertainment, comedy, talk, news, traffic and weather channels, as well as infotainment services.",http://www.libertymedia.com,LSXMK.png,Gregory B. Maffei,Nasdaq Global Select,13458112280,Consumer Cyclical,Consumer Cyclical,Broadcasting - Radio,Entertainment 
LYV,Live Nation Entertainment Inc.,Live Nation Entertainment,Entertainment,"Live Nation Entertainment Inc is a live entertainment company, and a producer of live music concerts. It is involved in live music events, venue operations, and ticketing services.",http://www.livenationentertainment.com,LYV.png,Michael Rapino,New York Stock Exchange,11133129091,Consumer Cyclical,Consumer Cyclical,Media - Diversified,Entertainment 
