ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
UNH,UnitedHealth Group Incorporated (DE),UnitedHealth Incorporated (DE),Health Care Plans,"UnitedHealth Group Inc is a diversified health care company in the United States. It designs products, provides services and applies technologies that improve access to health and well-being services, and make health care more affordable.",http://www.unitedhealthgroup.com,UNH.png,David S. Wichmann,New York Stock Exchange,2.57E+11,Healthcare,Healthcare,Health Care Plans, 
CVS,CVS Health Corporation,CVS Health,Health Care Plans,"CVS Health Corp operates in the healthcare sector. Its primary business is that of operating retail pharmacies. The company has three reportable segments namely Pharmacy Services, Retail/LTC, and Corporate.",http://www.cvshealth.com,CVS.png,Larry J. Merlo,New York Stock Exchange,85234751363,Healthcare,Healthcare,Health Care Plans, 
ANTM,Anthem Inc.,Anthem,Health Care Plans,"Anthem Inc is a health benefits company offering a network-based managed care plans to the large and small employer, individual, Medicaid and Medicare markets. Its business segments are Commercial and Specialty Business, Government Business and Other.",http://www.antheminc.com,ANTM.png,Gail Koziara Boudreaux,New York Stock Exchange,78681511720,Healthcare,Healthcare,Health Care Plans, 
CI,Cigna Corporation,Cigna,Health Care Plans,"Cigna Corp operates in the healthcare industry. It provides medical, dental, disability, life and accident insurance products.",http://www.cigna.com,CI.png,David M. Cordani,New York Stock Exchange,73135989933,Healthcare,Healthcare,Health Care Plans, 
HUM,Humana Inc.,Humana,Health Care Plans,"Humana Inc is a health care company that offers insurance products and health and wellness services. Its segments include Retail, Employer Group and Healthcare Services.",http://www.humana.com,HUM.png,Bruce D. Broussard,New York Stock Exchange,41973697805,Healthcare,Healthcare,Health Care Plans, 
CNC,Centene Corporation,Centene,Health Care Plans,"Centene Corp offers healthcare plans to United States government sponsored healthcare programs. The company primarily focuses on uninsured individuals and helps them access care facilities, and social services through government subsidized programs.",http://www.centene.com,CNC.png,Michael F. Neidorff,New York Stock Exchange,26797734480,Healthcare,Healthcare,Health Care Plans, 
WCG,Wellcare Health Plans Inc.,Wellcare Health Plans,Health Care Plans,"WellCare Health Plans Inc operates in the healthcare industry. Its key business includes provision of health care plans and prescription drug plans to families, children and individuals.",http://www.wellcare.com,WCG.png,Kenneth Burdick,New York Stock Exchange,13938732357,Healthcare,Healthcare,Health Care Plans, 
MOH,Molina Healthcare Inc,Molina Healthcare,Health Care Plans,Molina Healthcare Inc is a healthcare company. It offers Medicaid-related solutions to meet the health care needs of low-income families and individuals. It also provides plans through health insurance exchanges.,http://www.molinahealthcare.com,MOH.png,Joseph M. Zubretsky,New York Stock Exchange,8753488645,Healthcare,Healthcare,Health Care Plans, 
MGLN,Magellan Health Inc.,Magellan Health,Health Care Plans,"Magellan Health Inc provides managed healthcare business. It provides services to health plans, insurance companies, employers, labor unions and various governmental agencies.",http://www.magellanhealth.com,MGLN.png,Barry M. Smith,Nasdaq Global Select,1567605433,Healthcare,Healthcare,Health Care Plans, 
HIIQ,Health Insurance Innovations Inc.,Health Insurance Innovations,Health Care Plans,"Health Insurance Innovations Inc is a developer, distributor and cloud-based administrator of affordable individual health and family insurance plans including short-term medical insurance plans, guaranteed-issue and underwritten hospital indemnity plans.",http://www.hiiquote.com,HIIQ.png,Gavin Southwell,NASDAQ Global Market,677560690,Healthcare,Healthcare,Health Care Plans, 
