ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
HCA,HCA Healthcare Inc.,HCA Healthcare,Health Care Providers,"HCA Healthcare Inc is a health care services company. It operates general acute care hospitals, psychiatric hospitals, and rehabilitation hospitals. The company also operates freestanding surgery centers.",http://www.hcahealthcare.com,HCA.png,Samuel N. Hazen,New York Stock Exchange,47755710980,Healthcare,Healthcare,Medical Care,Health Care Providers 
FMS,Fresenius Medical Care AG,Fresenius Medical Care AG,Health Care Providers,"Fresenius Medical Care AG & Co. KGaA is a kidney dialysis company. It develops and manufactures a full range of dialysis machines, systems, and disposable products. The company provides dialysis care and related services.",http://www.freseniusmedicalcare.com,FMS.png,Rice Powell,New York Stock Exchange,22442676652,Healthcare,Healthcare,Medical Care,Health Care Providers 
UHS,Universal Health Services Inc.,Universal Health Services,Health Care Providers,"Universal Health Services Inc owns and operates acute care hospitals, behavior health centers, surgical hospitals, ambulatory surgery centers, and radiation oncology centers.",http://www.uhsinc.com,UHS.png,Alan B. Miller,New York Stock Exchange,12509985368,Healthcare,Healthcare,Medical Care,Health Care Providers 
DVA,DaVita Inc.,DaVita,Health Care Providers,DaVita Inc is engaged in operating kidney dialysis centers and providing related lab services in dialysis centers and in contracted hospitals across USA. It also operates other ancillary services and strategic initiatives.,http://www.davita.com,DVA.png,Kent J. Thiry,New York Stock Exchange,9395600000,Healthcare,Healthcare,Medical Care,Health Care Providers 
EHC,Encompass Health Corporation,Encompass Health,Health Care Providers,"Encompass Health Corp, formerly Healthsouth Corp provides post-acute healthcare services in the US through a network of inpatient rehabilitation hospitals, home health and hospice agencies. It operates Inpatient Rehabilitation and Home Health and Hospice.",http://www.healthsouth.com,EHC.png,Mark J. Tarr,New York Stock Exchange,6698432891,Healthcare,Healthcare,Medical Care,Health Care Providers 
CHE,Chemed Corp,Chemed,Health Care Providers,"Chemed Corp through its subsidiaries, provides hospice and palliative care services to its patients through a network of physicians, registered nurses, home health aides, social workers, clergy and volunteers and also plumbing and drain cleaning services.",http://www.chemed.com,,Kevin J. Mcnamara,New York Stock Exchange,4891934271,Healthcare,Healthcare,Medical Care,Health Care Providers 
AMED,Amedisys Inc,Amedisys,Health Care Providers,"Amedisys Inc is a provider of home health services to the chronic, co-morbid, aging American population. The company's operations include servicing patients through its segments home health, hospice and personal care.",http://www.amedisys.com,AMED.png,Paul B. Kusserow,Nasdaq Global Select,4357258167,Healthcare,Healthcare,Medical Care,Health Care Providers 
LHCG,LHC Group,LHC,Health Care Providers,"LHC Group Inc provides post-acute health care services to patients through its home nursing agencies, community-based services agencies, hospice agencies and long-term acute care hospitals.",http://www.lhcgroup.com,LHCG.png,Keith G. Myers,Nasdaq Global Select,3474666845,Healthcare,Healthcare,Medical Care,Health Care Providers 
MD,Mednax Inc.,Mednax,Health Care Providers,"Mednax Inc is a provider of physician services that are newborn, anesthesia, maternal-fetal, teleradiology, pediatric cardiology and other pediatric subspecialty care. Anesthesiology and Neonatology and other pediatric subspecialties generate more income.",http://www.mednax.com,,Roger J. Medel,New York Stock Exchange,3310343356,Healthcare,Healthcare,Medical Care,Health Care Providers 
AMN,AMN Healthcare Services Inc,AMN Healthcare Services,Health Care Providers,"AMN Healthcare Services Inc is a healthcare staffing firm. It provides healthcare workforce solutions and staffing services. AMN provides nurse and allied healthcare staffing, locum tenens staffing and physician permanent placement services.",http://www.amnhealthcare.com,AMN.png,Susan R. Salka,New York Stock Exchange,3019228636,Healthcare,Healthcare,Medical Care,Health Care Providers 
ACHC,Acadia Healthcare Company Inc.,Acadia Healthcare Company,Health Care Providers,"Acadia Healthcare Co Inc operates mental healthcare facilities in the United States. It addresses behavioral abnormalities in psychiatric facilities, substance abuse facilities, and residential treatment centers.",http://www.acadiahealthcare.com,,Debra K. Osteen,Nasdaq Global Select,2452637436,Healthcare,Healthcare,Medical Care,Health Care Providers 
THC,Tenet Healthcare Corporation,Tenet Healthcare,Health Care Providers,"Tenet Healthcare Corp is a healthcare service provider in the US. The company operates acute-care hospitals that includes ambulatory surgery centers, diagnostic imaging centers, and urgent care centers across United States.",http://www.tenethealth.com,THC.png,Ronald A. Rittenmeyer,New York Stock Exchange,2321074004,Healthcare,Healthcare,Medical Care,Health Care Providers 
ENSG,The Ensign Group Inc.,The Ensign,Health Care Providers,"Ensign Group Inc offers skilled nursing, assisted and independent living, home health and hospice and other ancillary services. The Transitional and Skilled Services generates maximum revenue for the company.",http://www.ensigngroup.net,,Christopher R. Christensen,Nasdaq Global Select,2318785437,Healthcare,Healthcare,Long-Term Care Facilities,Health Care Providers 
SEM,Select Medical Holdings Corporation,Select Medical,Health Care Providers,Select Medical Holdings Corp provides long term acute care hospital services and inpatient acute rehabilitative hospital care which requires extended recovery time with medical services.,http://www.selectmedical.com,,David S. Chernow,New York Stock Exchange,2131476858,Healthcare,Healthcare,Medical Care,Health Care Providers 
BKD,Brookdale Senior Living Inc.,Brookdale Senior Living,Health Care Providers,"Brookdale Senior Living Inc is a leading operator of senior living communities throughout the United States. The company along with its ancillary services program offers a range of outpatient therapy, home health, personalized living and hospice services.",http://www.brookdale.com,BKD.png,Lucinda M. Baier,New York Stock Exchange,1556389296,Healthcare,Healthcare,Long-Term Care Facilities,Health Care Providers 
USPH,U.S. Physical Therapy Inc.,U.S. Physical Therapy,Health Care Providers,"US Physical Therapy Inc operates outpatient physical therapy and occupational therapy clinics across US which provide treatment for orthopedic disorders, sports-related injuries, and work-related injuries.",http://www.usph.com,USPH.png,Christopher J. Reading,New York Stock Exchange,1379721563,Healthcare,Healthcare,Medical Care,Health Care Providers 
