ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
LEN,Lennar Corporation Class A,Lennar,Homebuilding & Construction,"Lennar Corp is a homebuilding service provider. Its operations include the construction and sale of single-family attached and detached homes, and to a lesser extent multi-level residential buildings.",http://www.lennar.com,LEN.png,Richard Beckwitt,New York Stock Exchange,15130314733,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
DHI,D.R. Horton Inc.,D.R. Horton,Homebuilding & Construction,"D.R. Horton Inc is a residential homebuilder. It constructs for the purpose of sale, homes in the states and metropolitan markets of the United States, under the names of D.R. Horton, America's Builder, Emerald Homes and Breland Homes.",http://www.drhorton.com,DHI.png,David V. Auld,New York Stock Exchange,14089254318,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
NVR,NVR Inc.,NVR,Homebuilding & Construction,"NVR Inc is a United States based company engaged in the construction and sale of single-family detached homes, town homes and condominium buildings. It also operates in mortgage banking and title services business.",http://www.nvrinc.com,NVR.png,Paul C. Saville,New York Stock Exchange,9426153553,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
PHM,PulteGroup Inc.,PulteGroup,Homebuilding & Construction,PulteGroup Inc is engaged in the homebuilding business. Its business includes the acquisition and development of land for residential purposes within the U.S. It is also engaged in mortgage banking operations.,http://www.pultegroupinc.com,PHM.png,Ryan R Marshall,New York Stock Exchange,7521634070,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
TOL,Toll Brothers Inc.,Toll Brothers,Homebuilding & Construction,"Toll Brothers Inc is a luxury homebuilder in the United States. The company caters to move-up, active-adult, and second-home buyers. It also builds luxury for-sale and for-rent properties in urban centers, primarily on the East Coast.",https://www.tollbrothers.com,TOL.png,Douglas C. Yearley,New York Stock Exchange,5405325000,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
TMHC,Taylor Morrison Home Corporation Class A,Taylor Morrison Home,Homebuilding & Construction,"Taylor Morrison Home Corp is public homebuilders in US. The company is a land developer, with a portfolio of lifestyle and master-planned communities. It provides a diverse assortment of homes at various prices.",http://www.taylormorrison.com,TMHC.png,Sheryl D. Palmer,New York Stock Exchange,2276256181,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
AIN,Albany International Corporation,Albany International,Homebuilding & Construction,"Albany International Corp engages in the business of advanced textiles and materials processing. The company operates across the world offering machine clothing products, engineered fabric, and engineered composites for automotive and aerospace industry.",http://www.albint.com,AIN.png,Olivier M. Jarrault,New York Stock Exchange,2268490000,Consumer Cyclical,Consumer Cyclical,Textile Manufacturing,Homebuilding & Construction 
KBH,KB Home,KB Home,Homebuilding & Construction,"KB Home is engaged in the residential construction market. The Company's offers a variety of new homes, move-up and active adult homebuyers, including attached and detached single-family residential homes.",http://www.kbhome.com,KBH.png,Jeffrey T. Mezger,New York Stock Exchange,1906269461,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
TPH,TRI Pointe Group Inc.,TRI Pointe,Homebuilding & Construction,"TRI Pointe Group Inc is engaged in the design, construction and sale of single-family attached and detached homes. The company's operations are organized in two principal businesses, including homebuilding and financial services.",http://www.tripointegroup.com,,Douglas F. Bauer,New York Stock Exchange,1893423798,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
MDC,M.D.C. Holdings Inc.,M.D.C.,Homebuilding & Construction,M.D.C. Holdings Inc is engaged in the residential construction industry. Its home building operations consists of construction and sale of single-family detached homes and financial services including mortgage loans and title agency services.,http://www.mdcholdings.com,MDC.png,Larry A. Mizel,New York Stock Exchange,1850755857,Consumer Cyclical,Consumer Cyclical,Residential Construction,Homebuilding & Construction 
