ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
LFC,China Life Insurance Company Limited American Depositary Shares,China Life Insurance Company Limited American Depositary Shares,Insurance - Life,"China Life Insurance Co Ltd is a life insurance provider in China. The company offers life insurance, annuity, health and accident insurance products, covering survival, pension, disease, medical, physical death, disability and other protection coverage.",http://www.e-chinalife.com,,,New York Stock Exchange,69531174300,Financial Services,Financial Services,Insurance - Life, 
PUK,Prudential Public Limited Company,Prudential Public Limited Company,Insurance - Life,"Prudential PLC is a financial services group that offers life insurance, long-term savings and protection products, retirement income solutions and asset management services throughout Asia, United States and United Kingdom.",http://www.prudential.co.uk,PUK.png,Michael Andrew Wells,New York Stock Exchange,51642223780,Financial Services,Financial Services,Insurance - Life, 
MET,MetLife Inc.,MetLife,Insurance - Life,"MetLife Inc provides life insurance, annuities, employee benefits and asset management in the United States, Japan, Latin America, Asia, Europe and the Middle East.",http://www.metlife.com,MET.png,Steven A. Kandarian,New York Stock Exchange,44511339356,Financial Services,Financial Services,Insurance - Life, 
PRU,Prudential Financial Inc.,Prudential Financial,Insurance - Life,"Prudential Financial Inc offers annuities, life insurance, retirement plan services, and asset management products to individual and institutional customers in the United States, Asia, Europe and Latin America.",http://www.prudential.com,PRU.png,Charles Lowrey,New York Stock Exchange,38280970000,Financial Services,Financial Services,Insurance - Life, 
AFL,AFLAC Incorporated,AFLAC Incorporated,Insurance - Life,Aflac Inc is a general business holding company and acts as a management company. It offers supplemental health and life insurance in the U.S. and Japan.,http://www.aflac.com,AFL.png,Daniel P. Amos,New York Stock Exchange,36268833720,Financial Services,Financial Services,Insurance - Life, 
MFC,Manulife Financial Corporation,Manulife Financial,Insurance - Life,"Manulife Financial Corp together with its subsidiaries provides individual life insurance and individual and group long-term care insurance services. Its business segments are Asia Division, Canadian Division, U.S. Division, and Corporate and Other.",http://www.manulife.com,,Rocco Gori,New York Stock Exchange,31141846578,Financial Services,Financial Services,Insurance - Life, 
PFG,Principal Financial Group Inc,Principal Financial,Insurance - Life,"Principal Financial Group Inc is an investment management company. It offers a range of financial products and services, including retirement, asset management and insurance. The company receives maximum revenue in the form of premiums.",http://www.principal.com,PFG.png,Daniel J. Houston,Nasdaq Global Select,13703885000,Financial Services,Financial Services,Insurance - Life, 
LNC,Lincoln National Corporation,Lincoln National,Insurance - Life,"Lincoln National Corp offers individual and group insurance, retirement, and investment products in the United States and the United Kingdom. It distributes its products through independent and company-employed agents, and banks.",http://www.lfg.com,LNC.png,Dennis R. Glass,New York Stock Exchange,12601610692,Financial Services,Financial Services,Insurance - Life, 
TMK,Torchmark Corporation,Torchmark,Insurance - Life,Torchmark Corp is a life and health insurance provider. The company through its Life Insurance and Health Insurance segments offers various plans and policies to several niche target groups.,http://www.torchmarkcorp.com,TMK.png,Gary L. Coleman / Larry M. Hutchison,New York Stock Exchange,9262315065,Financial Services,Financial Services,Insurance - Life, 
UNM,Unum Group,Unum,Insurance - Life,Unum Group is a financial services provider. Its services include insurance and non-insurance products and services.,http://www.unum.com,UNM.png,,New York Stock Exchange,7538073069,Financial Services,Financial Services,Insurance - Life, 
