ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
CB,Chubb Limited,Chubb Limited,Insurance - Property & Casualty,"Chubb Ltd provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance (A&H), reinsurance and life insurance to a diverse group of clients.",http://www.chubb.com,,Evan G. Greenberg,New York Stock Exchange,61715663472,Financial Services,Financial Services,Insurance - Property & Casualty, 
PGR,Progressive Corporation (The),Progressive (The),Insurance - Property & Casualty,"Progressive Corp is an insurance holding company which provides personal and commercial auto insurance, residential property insurance, and other specialty property-casualty insurance and related services.",http://www.progressive.com,PGR.png,Susan Patricia Griffith,New York Stock Exchange,38680740000,Financial Services,Financial Services,Insurance - Property & Casualty, 
TRV,The Travelers Companies Inc.,The Travelers Companies,Insurance - Property & Casualty,"The Travelers Companies Inc operates in property and casualty insurance industry. Its operations are divided into three segments: Business Insurance, Bond & Specialty Insurance and Personal Insurance.",https://www.travelers.com,TRV.png,Alan D. Schnitzer,New York Stock Exchange,33092344000,Financial Services,Financial Services,Insurance - Property & Casualty, 
ALL,Allstate Corporation (The),Allstate (The),Insurance - Property & Casualty,"Allstate Corp, through its subsidiaries, is primarily engaged in the property-liability insurance business and the life insurance, retirement and investment products business. It offers its products in the United States and Canada.",http://www.allstate.com,ALL.png,Thomas J. Wilson,New York Stock Exchange,30586473576,Financial Services,Financial Services,Insurance - Property & Casualty, 
L,Loews Corporation,Loews,Insurance - Property & Casualty,"Loews Corp deals in commercial property and casualty insurance business. Its other business operations are offshore oil and gas drilling rigs, transportation, storage of natural gas, and gathering and operation of a chain of hotels.",http://www.loews.com,L.png,James S. Tisch,New York Stock Exchange,15046590181,Financial Services,Financial Services,Insurance - Property & Casualty, 
MKL,Markel Corporation,Markel,Insurance - Property & Casualty,"Markel Corp is engaged in the business of property and casualty insurance. It focuses primarily on specialty lines, such as executive liability to commercial equine insurance. It also invests in bakery equipment manufacturing and residential homebuilding.",http://www.markelcorp.com,MKL.png,Richard R. Whitt / Thomas S. Gayner,New York Stock Exchange,14787290031,Financial Services,Financial Services,Insurance - Property & Casualty, 
CINF,Cincinnati Financial Corporation,Cincinnati Financial,Insurance - Property & Casualty,"Cincinnati Financial Corp is a property casualty insurance company. It provides coverage for commercial casualty, commercial property, commercial auto, workers' compensation, personal auto and life insurance.",https://www.cinfin.com,CINF.png,Steven J. Johnston,Nasdaq Global Select,13420978531,Financial Services,Financial Services,Insurance - Property & Casualty, 
CNA,CNA Financial Corporation,CNA Financial,Insurance - Property & Casualty,"CNA Financial Corp is a property and casualty insurance company managing its core business into three segments Specialty, Commercial and International. Its services include risk management, information services, warranty and claims administration.",http://www.cna.com,CNA.png,Dino E. Robusto,New York Stock Exchange,12520176237,Financial Services,Financial Services,Insurance - Property & Casualty, 
WRB,W.R. Berkley Corporation,W.R. Berkley,Insurance - Property & Casualty,"WR Berkley Corp is an insurance holding company with operations in United States. The company operates in two segments of the property casualty insurance business: Insurance, and Reinsurance.",http://www.wrberkley.com,WRB.png,William Robert Berkley,New York Stock Exchange,9702341880,Financial Services,Financial Services,Insurance - Property & Casualty, 
Y,Alleghany Corporation,Alleghany,Insurance - Property & Casualty,Alleghany Corp together with its subsidiaries is engaged in the property and casualty reinsurance and insurance business in the United States. It operates through two segments namely reinsurance and insurance.,http://www.alleghany.com,Y.png,Weston M. Hicks,New York Stock Exchange,9563950398,Financial Services,Financial Services,Insurance - Property & Casualty, 
AFG,American Financial Group Inc.,American Financial,Insurance - Property & Casualty,"American Financial Group Inc is a property and casualty insurance company that operates through its subsidiaries. It sells fixed and fixed-indexed annuities in the retail, financial institutions and education markets.",http://www.afginc.com,AFG.png,Carl H. Lindner / S. Craig Lindner,New York Stock Exchange,8424700200,Financial Services,Financial Services,Insurance - Property & Casualty, 
THG,Hanover Insurance Group Inc,Hanover Insurance,Insurance - Property & Casualty,"The Hanover Insurance Group Inc is a holding company. The company is engaged in providing property and casualty insurance products and services to businesses, individuals, and families through a group of independent agents and brokers.",http://www.hanover.com,THG.png,John C. Roche,New York Stock Exchange,4663508990,Financial Services,Financial Services,Insurance - Property & Casualty, 
AXS,Axis Capital Holdings Limited,Axis Capital Limited,Insurance - Property & Casualty,Axis Capital Holdings Ltd is a global property and casualty insurance company. The firm along with its subsidiaries provides its clients and distribution partners with various products and services around the world.,http://www.axiscapital.com,,Albert A. Benchimol,New York Stock Exchange,4596394140,Financial Services,Financial Services,Insurance - Property & Casualty, 
ANAT,American National Insurance Company,American National Insurance Company,Insurance - Property & Casualty,"American National Insurance Co is engaged in the business of life insurance, annuities, and property and casualty insurance. It also offers limited health insurance.",https://www.americannational.com,ANAT.png,James E. Pozzi,Nasdaq Global Select,3757241498,Financial Services,Financial Services,Insurance - Property & Casualty, 
SIGI,Selective Insurance Group Inc.,Selective Insurance,Insurance - Property & Casualty,"Selective Insurance Group Inc is a holding company that offers property and casualty insurance products and services in United States. It offers standard commercial, standard personal, and excess and surplus lines property and casualty insurance products.",http://www.selective.com,SIGI.png,Gregory E. Murphy,Nasdaq Global Select,3709522000,Financial Services,Financial Services,Insurance - Property & Casualty, 
RLI,RLI Corp. (DE),RLI (DE),Insurance - Property & Casualty,RLI Corp provides property and casualty insurance coverages in both the specialty admitted and excess and surplus markets. It distributes its property and casualty insurance through branch offices.,http://www.rlicorp.com,RLI.png,Jonathan E. Michael,New York Stock Exchange,2987998560,Financial Services,Financial Services,Insurance - Property & Casualty, 
MCY,Mercury General Corporation,Mercury General,Insurance - Property & Casualty,"Mercury General Corp is an insurance holding company. It is engaged in writing personal automobile insurance as well as homeowners, commercial automobile, commercial property, mechanical breakdown, and umbrella insurance.",http://www.mercuryinsurance.com,,Gabriel Tirador,New York Stock Exchange,2921099572,Financial Services,Financial Services,Insurance - Property & Casualty, 
