ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
FNF,FNF Group of Fidelity National Financial Inc.,FNF of Fidelity National Financial,Insurance - Specialty,"Fidelity National Financial Inc is a title insurance company. It provides title insurance, escrow, and other title-related services. The firm also provides technology and transaction services to the real estate and mortgage industries.",http://www.fnf.com,,Raymond R. Quirk,New York Stock Exchange,9712681322,Financial Services,Financial Services,Insurance - Specialty, 
RE,Everest Re Group Ltd.,Everest Re,Insurance - Specialty,Everest Re Group Ltd is engaged in the insurance business. Its offering comprises of property and casualty reinsurance & insurance products and services.,http://www.everestregroup.com,RE.png,Dominic J. Addesso,New York Stock Exchange,8987475598,Financial Services,Financial Services,Insurance - Reinsurance,Insurance - Specialty 
RGA,Reinsurance Group of America Incorporated,Reinsurance of America Incorporated,Insurance - Specialty,"Reinsurance Group of America Inc is an insurance holding company. It provides various products including life reinsurance, living benefits reinsurance, group reinsurance, health reinsurance, financial solutions, and product development.",http://www.rgare.com,RGA.png,Anna Manning,New York Stock Exchange,8973922110,Financial Services,Financial Services,Insurance - Reinsurance,Insurance - Specialty 
FAF,First American Corporation (New),First American (New),Insurance - Specialty,"First American Financial Corp is a financial service provider offering title insurance, closing and/or escrow services, and related services in connection with residential and commercial real estate transactions.",http://www.firstam.com,FAF.png,Dennis J. Gilmore,New York Stock Exchange,5653101005,Financial Services,Financial Services,Insurance - Specialty, 
RNR,RenaissanceRe Holdings Ltd.,RenaissanceRe,Insurance - Specialty,RenaissanceRe Holdings Ltd is a provider of insurance products. Its portfolio encompasses property catastrophe and specialty reinsurance risks.,http://www.renre.com,RNR.png,Kevin O'Donnell,New York Stock Exchange,5651730286,Financial Services,Financial Services,Insurance - Reinsurance,Insurance - Specialty 
MTG,MGIC Investment Corporation,MGIC Investment,Insurance - Specialty,MGIC Investment Corp is engaged in the financial services domain. Its core business is the provision of private mortgage insurance and ancillary services. Insurance premiums generate maximum revenue for the company.,http://www.mgic.com,MTG.png,Patrick Sinks,New York Stock Exchange,4449244920,Financial Services,Financial Services,Insurance - Specialty, 
AGO,Assured Guaranty Ltd.,Assured Guaranty,Insurance - Specialty,Assured Guaranty Ltd is in the financial services industry. The company provides insurance that protects holders of debt instruments and other monetary obligations from defaults in scheduled payments.,http://www.assuredguaranty.com,,Dominic J. Frederico,New York Stock Exchange,4278476184,Financial Services,Financial Services,Insurance - Specialty, 
RDN,Radian Group Inc.,Radian,Insurance - Specialty,Radian Group Inc provides mortgage insurance and products and services to the real estate and mortgage finance industries. It operates with two business segments namely Mortgage Insurance and Services.,http://www.radian.biz,RDN.png,Richard G Thornberry,New York Stock Exchange,4117335160,Financial Services,Financial Services,Insurance - Specialty, 
AHL,Aspen Insurance Holdings Limited,Aspen Insurance Limited,Insurance - Specialty,"Aspen Insurance Holdings Ltd is a Bermudian insurance and reinsurance company. It offers property and casualty insurance, marine, aviation and energy insurance, financial and professional lines insurance, property catastrophe reinsurance, among others.",http://www.aspen.co,AHL.png,,New York Stock Exchange,2500782816,Financial Services,Financial Services,Insurance - Reinsurance,Insurance - Specialty 
EIG,Employers Holdings Inc,Employers,Insurance - Specialty,"Employers Holdings Inc is engaged in the commercial property and casualty insurance industry. The company provides workers' compensation insurance and related services to select, small American businesses.",http://www.employers.com,EIG.png,Douglas D. Dirks,New York Stock Exchange,1415633585,Financial Services,Financial Services,Insurance - Specialty, 
TPRE,Third Point Reinsurance Ltd.,Third Point Reinsurance,Insurance - Specialty,"Third Point Reinsurance Ltd provides property and casualty reinsurance coverage to insurance and reinsurance companies in the Americas, Europe, the Middle East, Africa, and Asia.",http://www.thirdpointre.bm,,Robert Bredahl,New York Stock Exchange,1021270668,Financial Services,Financial Services,Insurance - Reinsurance,Insurance - Specialty 
