ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
BRK.B,Berkshire Hathaway Inc.,Berkshire Hathaway,Insurance,Berkshire Hathaway Inc is engaged in the financial services domain. Its core activity includes provision of insurance services.,http://www.berkshirehathaway.com,BRK.B.png,Warren E. Buffett,New York Stock Exchange,2.84E+11,Financial Services,Financial Services,Insurance - Diversified,Insurance 
BRK.A,Berkshire Hathaway Inc.,Berkshire Hathaway,Insurance,Berkshire Hathaway Inc is engaged in the financial services domain. Its core activity includes provision of insurance services.,http://www.berkshirehathaway.com,BRK.A.png,Warren E. Buffett,New York Stock Exchange,2.29E+11,Financial Services,Financial Services,Insurance - Diversified,Insurance 
AIG,American International Group Inc.,American International,Insurance,"American International Group Inc is an insurance company. The company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States and abroad.",http://www.aig.com,AIG.png,Brian Duperreault,New York Stock Exchange,38924532680,Financial Services,Financial Services,Insurance - Diversified,Insurance 
SLF,Sun Life Financial Inc.,Sun Life Financial,Insurance,"Sun Life Financial Inc provides diversified financial services. It provides insurance, retirement, and wealth management products and services to individual and corporate customers in Canada, the United States and Asia.",http://www.sunlife.com,SLF.png,Dean A. Connor,New York Stock Exchange,21694254496,Financial Services,Financial Services,Insurance - Diversified,Insurance 
HIG,Hartford Financial Services Group Inc. (The),Hartford Financial Services (The),Insurance,Hartford Financial Services Group Inc provides insurance and financial services to individual and business customers in the United States.,http://www.thehartford.com,HIG.png,Christopher J. Swift,New York Stock Exchange,16917934064,Financial Services,Financial Services,Insurance - Diversified,Insurance 
ACGL,Arch Capital Group Ltd.,Arch Capital,Insurance,"Arch Capital Group Ltd provides insurance, reinsurance and mortgage. It provides property, casualty and mortgage insurance and reinsurance lines, and focus on writing specialty lines of insurance and reinsurance.",http://www.archcapgroup.bm,ACGL.png,Marc Grandisson,Nasdaq Global Select,12133632116,Financial Services,Financial Services,Insurance - Diversified,Insurance 
AEG,AEGON N.V.,AEGON N.V.,Insurance,"Aegon NV is engaged in providing life insurance, pensions and asset management products and services in the USA, Europe, and Asia. It offers life and protection, and accidental death products as well as individual savings and retirement products.",http://www.aegon.com,AEG.png,Alexander R Wynaendts,New York Stock Exchange,10403542336,Financial Services,Financial Services,Insurance - Diversified,Insurance 
EQH,AXA Equitable Holdings Inc.,AXA Equitable,Insurance,"AXA Equitable Holdings Inc is engaged in providing variable annuity products, deferred investment and retirement plans, diversified investment management, research and related services, variable universal life and indexed universal life insurance.",https://www.axa.com,EQH.png,Mark Pearson,New York Stock Exchange,9842117316,Financial Services,Financial Services,Insurance - Diversified,Insurance 
ATH,Athene Holding Ltd. Class A,Athene Holding,Insurance,"Athene Holding Ltd is a retirement services company that issues, reinsures and acquires retirement savings products designed for the increasing number of individuals and institutions seeking to fund retirement needs.",https://www.athene.com,ATH.png,James R Belardi,New York Stock Exchange,8727420204,Financial Services,Financial Services,Insurance - Diversified,Insurance 
ORI,Old Republic International Corporation,Old Republic International,Insurance,"Old Republic International Corporation is engaged in insurance underwriting and related services. It conducts its operations through General Insurance, Title Insurance, and the Republic Financial Indemnity and consumer credit indemnity Run-off Business.",http://www.oldrepublic.com,ORI.png,Aldo C. Zucaro,New York Stock Exchange,6199593001,Financial Services,Financial Services,Insurance - Diversified,Insurance 
AIZ,Assurant Inc.,Assurant,Insurance,Assurant Inc is a provider of specialized insurance products and related services in North America and selected other international markets.,http://www.assurant.com,AIZ.png,Alan B. Colberg,New York Stock Exchange,6081285630,Financial Services,Financial Services,Insurance - Diversified,Insurance 
KMPR,Kemper Corporation,Kemper,Insurance,"Kemper Corp through its subsidiaries, provides automobile, homeowners, life, health, and other insurance products to individuals and businesses. It conducts its operations through two segments: Property & Casualty Insurance and Life & Health Insurance.",http://www.kemper.com,KMPR.png,Joseph P. Lacher,New York Stock Exchange,4953156363,Financial Services,Financial Services,Insurance - Diversified,Insurance 
