ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
ABT,Abbott Laboratories,Abbott Laboratories,Medical Devices,"Abbott Laboratories is a health care company that manufactures medical devices, blood glucose monitoring kits, nutritional healthcare products, diagnostic products and equipment, and branded generic drugs.",http://www.abbott.com,ABT.png,Miles D. White,New York Stock Exchange,1.27E+11,Healthcare,Healthcare,Medical Devices, 
MDT,Medtronic plc.,Medtronic plc.,Medical Devices,"Medtronic PLC is a medical technology company. It primarily manufacture and sell device-based medical therapies. It operates in Cardiac and Vascular, Minimally Invasive Therapies, Restorative Therapies and Diabetes segments.",http://www.medtronic.com,,Omar Ishrak,New York Stock Exchange,1.19E+11,Healthcare,Healthcare,Medical Devices, 
SYK,Stryker Corporation,Stryker,Medical Devices,"Stryker Corp is engaged in designing, manufacturing and marketing of medical equipment, instruments, and implantable devices. Its products include hip and knee replacements, endoscopy systems, operating room equipment, embolic coils, and spinal devices.",http://www.stryker.com,SYK.png,Kevin A. Lobo,New York Stock Exchange,67125457236,Healthcare,Healthcare,Medical Devices, 
BSX,Boston Scientific Corporation,Boston Scientific,Medical Devices,"Boston Scientific Corp is a developer, manufacturer, and marketer of medical devices. The firm markets its devices to health-care professionals and institutions globally. Foreign sales account for nearly half of the firm's total sales.",http://www.bostonscientific.com,BSX.png,Michael F. Mahoney,New York Stock Exchange,52487563623,Healthcare,Healthcare,Medical Devices, 
EW,Edwards Lifesciences Corporation,Edwards Lifesciences,Medical Devices,Edwards Lifesciences Corp is a part of the healthcare sector. The company specializes in the treatment of structural heart disease. It manufactures heart valves and repair products used to replace or repair a patient's diseased or defective heart valve.,http://www.edwards.com,,Michael A. Mussallem,New York Stock Exchange,35812230272,Healthcare,Healthcare,Medical Devices, 
ZBH,Zimmer Biomet Holdings Inc.,Zimmer Biomet,Medical Devices,"Zimmer Biomet Holdings Inc is a medical device company. It designs, manufactures, and markets orthopedic reconstructive implants, as well as supplies and surgical equipment for orthopedic surgery under brands like NexGen, Persona, Zimmer, and Polaris.",http://www.zimmerbiomet.com,ZBH.png,Bryan C. Hanson,New York Stock Exchange,24205868826,Healthcare,Healthcare,Medical Devices, 
ALGN,Align Technology Inc.,Align Technology,Medical Devices,"Align Technology Inc designs, manufactures and markets a system of clear aligner therapy, intra-oral scanners and CAD/CAM digital services used in dentistry, orthodontics, and dental records storage. Its segments are Clear Aligner and Scanners & Services.",http://www.aligntech.com,ALGN.png,Joseph M. Hogan,Nasdaq Global Select,19559380530,Healthcare,Healthcare,Medical Devices, 
SNN,Smith & Nephew SNATS Inc.,Smith & Nephew SNATS,Medical Devices,"Smith & Nephew PLC designs, manufactures, and markets orthopedic devices and wound-care solutions. Its products include knee replacements, hip implants, nails, fixation devices, arthroscopy tools and others.",http://www.smith-nephew.com,SNN.png,Olivier Bohuon,New York Stock Exchange,16850957348,Healthcare,Healthcare,Medical Devices, 
ABMD,ABIOMED Inc.,ABIOMED,Medical Devices,Abiomed Inc is a medical device company. It provides mechanical circulatory support devices to aid heart recovery to heart failure patients.,http://www.abiomed.com,ABMD.png,Michael R. Minogue,Nasdaq Global Select,14887629970,Healthcare,Healthcare,Medical Devices, 
PEN,Penumbra Inc.,Penumbra,Medical Devices,"Penumbra Inc designs, develops, manufactures and markets medical devices. The products of the company address ischemic stroke, hemorrhagic stroke and vascular conditions that can be treated through thrombectomy and embolization procedures.",http://www.penumbrainc.com,PEN.png,Adam Elsesser,New York Stock Exchange,5143712905,Healthcare,Healthcare,Medical Devices, 
