ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
TMO,Thermo Fisher Scientific Inc,Thermo Fisher Scientific,Medical Diagnostics & Research,"Thermo Fisher Scientific Inc is a healthcare company. It offers analytical instruments, laboratory equipment, software, services, consumables, reagents and chemicals.",http://www.thermofisher.com,TMO.png,Marc N. Casper,New York Stock Exchange,98661406819,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
DHR,Danaher Corporation,Danaher,Medical Diagnostics & Research,"Danaher Corp designs, manufactures and markets professional, medical, industrial and commercial products and services. It markets its products under the brand of Beckman Coulter, Aperio, Dexis, Chemtreat and others.",http://www.danaher.com,DHR.png,Thomas P. Joyce,New York Stock Exchange,76877385000,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
ILMN,Illumina Inc.,Illumina,Medical Diagnostics & Research,Illumina Inc engages in life science tools and machines for analyzing genetic material. The company primarily engages in microarray and genome sequencing machines and disposables. It also provides sequencing services through its products.,http://www.illumina.com,ILMN.png,Francis A. DeSouza,Nasdaq Global Select,41312880000,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
PHG,Koninklijke Philips N.V. NY Registry Shares,Koninklijke Philips N.V. NY Registry Shares,Medical Diagnostics & Research,"Royal Philips NV is a health technology company. The company provides various services in the area of personal health, diagnosis and treatment, connected care and health informatics businesses, and health tech.",http://www.philips.com,PHG.png,Frans Van Van Houten,New York Stock Exchange,35028877365,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
IQV,IQVIA Holdings Inc.,IQVIA,Medical Diagnostics & Research,"IQVIA Holdings Inc is an information and technology-enabled healthcare service provider to the pharmaceutical services, biotechnology, and healthcare industries. The Commercial Solutions and Research and Development Solutions generate maximum revenue.",https://www.quintilesims.com,IQV.png,Ari Bousbib,New York Stock Exchange,25551923433,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,"Agilent Technologies Inc is engaged in life sciences, diagnostics and applied chemical markets. The company provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow.",http://www.agilent.com,A.png,Michael R. McMullen,New York Stock Exchange,24218068096,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
WAT,Waters Corporation,Waters,Medical Diagnostics & Research,"Waters Corp is an analytical instrument manufacturer. It designs, manufactures, sells and services liquid chromatography, ultra performance liquid chromatography & mass spectrometry instrument systems & support products.",http://www.waters.com,WAT.png,Christopher J. O'Connell,New York Stock Exchange,17608607528,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
IDXX,IDEXX Laboratories Inc.,IDEXX Laboratories,Medical Diagnostics & Research,"IDEXX Laboratories Inc develops, manufactures and distributes products and provide services for companion animal veterinary, livestock and poultry, dairy and water testing markets.",http://www.idexx.com,IDXX.png,Jonathan W. Ayers,Nasdaq Global Select,17519228131,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
MTD,Mettler-Toledo International Inc.,Mettler-Toledo International,Medical Diagnostics & Research,"Mettler-Toledo International Inc supplies weighing and precision instruments to customers in the life sciences, industrial and food retail industries. Its products are laboratory scales, pipettes, pH meters, thermal analysis equipment and others.",http://www.mt.com,MTD.png,Olivier A. Filliol,New York Stock Exchange,16175581784,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
LH,Laboratory Corporation of America Holdings,Laboratory of America,Medical Diagnostics & Research,Laboratory Corp of America Holdings is a healthcare diagnostics company. It is engaged in providing comprehensive clinical laboratory and end-to-end drug development services. It operates in two segments: LabCorp Diagnostics and Covance Drug Development.,http://www.labcorp.com,LH.png,David P. King,New York Stock Exchange,14346971000,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
DXCM,DexCom Inc.,DexCom,Medical Diagnostics & Research,"DexCom Inc designs, develops and commercializes continuous glucose monitoring systems for ambulatory use by people with diabetes and for use by healthcare providers in the hospital for the treatment of both diabetic and non-diabetic patients.",http://www.dexcom.com,DXCM.png,Kevin R. Sayer,Nasdaq Global Select,12837119409,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research 
