ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
BDX,Becton Dickinson and Company,Becton Dickinson and Company,Medical Instruments & Equipment,"Becton, Dickinson and Co is a healthcare company. It manufacture and sales medical supplies, devices, laboratory equipment and diagnostic products. It operates in two segments BD Medical and BD Life Sciences.",http://www.bd.com,BDX.png,Vincent A. Forlenza,New York Stock Exchange,66597799326,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
ISRG,Intuitive Surgical Inc.,Intuitive Surgical,Medical Instruments & Equipment,"Intuitive Surgical Inc designs, manufactures, markets da Vinci Surgical Systems, and related instruments. The da Vinci surgery, combines the benefits of minimally invasive surgery for patients with the ease of use, precision and dexterity of open surgery.",http://www.intuitivesurgical.com,ISRG.png,Gary S. Guthart,Nasdaq Global Select,59544588651,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
BAX,Baxter International Inc.,Baxter International,Medical Instruments & Equipment,"Baxter International Inc operates in the healthcare industry. It provides renal and hospital products such as infusion systems and systems, parenteral nutrition therapies, and biosurgery products.",http://www.baxter.com,BAX.png,Jose E. Almeida,New York Stock Exchange,38617472225,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
COO,The Cooper Companies Inc.,The Cooper Companies,Medical Instruments & Equipment,The Cooper Companies Inc is a medical device company operating through its subsidiaries. It manufactures products for contact lens wearers and supplies women's health clinicians with products and treatment options to improve the delivery of healthcare.,http://www.coopercos.com,COO.png,Albert G. White,New York Stock Exchange,13649096592,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
RMD,ResMed Inc.,ResMed,Medical Instruments & Equipment,ResMed Inc is a part of the healthcare sector. It develops and distributes medical products for treating and diagnosing respiratory disorders.,http://www.resmed.com,RMD.png,Michael J. Farrell,New York Stock Exchange,13613713521,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
HOLX,Hologic Inc.,Hologic,Medical Instruments & Equipment,"Hologic Inc develops, manufactures and supplies diagnostics products, medical imaging systems and surgical products for women's health. Its products are used in diagnosis of human diseases and screen donated human blood and plasma.",http://www.hologic.com,HOLX.png,Stephen P. Macmillan,Nasdaq Global Select,12791631419,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
TFX,Teleflex Incorporated,Teleflex Incorporated,Medical Instruments & Equipment,"Teleflex Inc designs, develops, manufactures and supplies single-use medical devices used by hospitals and healthcare providers for common diagnostic and therapeutic procedures in critical care and surgical applications.",http://www.teleflex.com,TFX.png,Liam J. Kelly,New York Stock Exchange,12547370995,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
VAR,Varian Medical Systems Inc.,Varian Medical Systems,Medical Instruments & Equipment,"Varian Medical Systems Inc is engaged in the healthcare sector. It manufactures medical devices for conditions with radiotherapy, radiosurgery, proton therapy and brachytherapy.",http://www.varian.com,,Dow R. Wilson,New York Stock Exchange,12116320874,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
STE,STERIS plc,STERIS plc,Medical Instruments & Equipment,"STERIS PLC is a provider of infection prevention and other procedural products and services. The Company's business segments are Healthcare Products, Healthcare Specialty Services, Life Sciences, and Applied Sterilization Technologies.",http://www.steris.com,STE.png,Walter M. Rosebrough,New York Stock Exchange,9982035757,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
XRAY,DENTSPLY SIRONA Inc.,DENTSPLY SIRONA,Medical Instruments & Equipment,"Dentsply Sirona Inc is a designer, developer, manufacturer and marketer of consumable dental products for the professional dental market. It also manufactures and markets other consumable medical device products.",http://www.dentsplysirona.com,XRAY.png,Donald M. Casey,Nasdaq Global Select,9631861210,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
WST,West Pharmaceutical Services Inc.,West Pharmaceutical Services,Medical Instruments & Equipment,"West Pharmaceutical Services Inc develops, manufactures and sells packaging components and systems for injectable drug delivery, including stoppers and seals for vials, closures and other components used in syringe, and prefillable syringe components.",http://www.westpharma.com,WST.png,Eric Green,New York Stock Exchange,7761697529,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
MASI,Masimo Corporation,Masimo,Medical Instruments & Equipment,"Masimo Corp is a medical technology company. The company develops, manufactures, and markets noninvasive monitoring technologies. Its product includes noninvasive blood constituent and brain and breath monitoring.",http://www.masimo.com,,Joseph E. Kiani,Nasdaq Global Select,6733114611,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
HRC,Hill-Rom Holdings Inc,Hill-Rom,Medical Instruments & Equipment,"Hill-Rom Holdings Inc is engaged in selling and renting patient support and near-patient technologies and services, and health information technology solutions in the U.S and Canada.",http://www.hill-rom.com,HRC.png,John P. Groetelaars,New York Stock Exchange,6701700052,Healthcare,Healthcare,Medical Instruments & Supplies,Medical Instruments & Equipment 
