ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
XOM,Exxon Mobil Corporation,Exxon Mobil,Oil & Gas - Integrated,"Exxon Mobil Corp is an integrated oil and gas company. It is engaged in exploration for, and production of, crude oil and natural gas. It is also engaged in manufacturing, transportation and sale of crude oil, natural gas and petroleum products.",http://www.exxonmobil.com,XOM.png,Darren W. Woods,New York Stock Exchange,3.19E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
CVX,Chevron Corporation,Chevron,Oil & Gas - Integrated,"Chevron Corp engages in the exploration, production, and refining operations worldwide. Its oil refineries are spread across the United States, South Africa, and Asia with an approximate capacity of 2 million barrels of oil a day.",http://www.chevron.com,CVX.png,Michael K. Wirth,New York Stock Exchange,2.29E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
RDS.B,Royal Dutch Shell PLC American Depositary Shares (Each representing two Class B),Royal Dutch Shell PLC American Depositary Shares (Each representing two B),Oil & Gas - Integrated,"Royal Dutch Shell PLC is an integrated oil and gas company. The company engages in exploration, production, and refining of oil around the world. It supplies fuel and other chemicals to various industries such as aviation, and marine.",http://www.shell.com,RDS.B.png,Bernardus van Beurden,New York Stock Exchange,1.99E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
RDS.A,Royal Dutch Shell PLC American Depositary Shares (Each representing two Class A),Royal Dutch Shell PLC American Depositary Shares (Each representing two A),Oil & Gas - Integrated,"Royal Dutch Shell PLC is an integrated oil and gas company. The company engages in exploration, production, and refining of oil around the world. It supplies fuel and other chemicals to various industries such as aviation, and marine.",http://www.shell.com,RDS.A.png,Bernardus van Beurden,New York Stock Exchange,1.95E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
TOT,Total S.A.,Total S.A.,Oil & Gas - Integrated,"Total SA is an integrated oil and gas company. It is engaged in exploring, producing, refining oil and gas and related products.",http://www.total.com,TOT.png,Patrick Pouyanne,New York Stock Exchange,1.46E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
BP,BP p.l.c.,BP p.l.c.,Oil & Gas - Integrated,"BP PLC is an integrated oil and gas company. Its business activities involved oil and natural gas exploration, midstream transportation, supply and trading of crude oil, petrochemicals products and related services to wholesale and retail customers.",http://www.bp.com,BP.png,Robert W. Dudley,New York Stock Exchange,1.40E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
PTR,PetroChina Company Limited,PetroChina Company Limited,Oil & Gas - Integrated,"PetroChina Co Ltd is engaged in the exploration, development, production and sale of crude oil and natural gas, refining of crude oil and petroleum products, transmission of natural gas, crude oil and refined products and sale of natural gas.",http://www.petrochina.com.cn,PTR.png,,New York Stock Exchange,1.18E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
PBR,Petroleo Brasileiro S.A.- Petrobras,Petroleo Brasileiro S.A.- Petrobras,Oil & Gas - Integrated,"Petroleo Brasileiro SA Petrobras is an oil and gas company focused on the exploration and production in Brazilian fields. Its segments include Exploration & Production; Refining, Transportation and Marketing; Distribution, Gas and Power and Biofuel.",http://www.petrobras.com.br,PBR.png,Pedro Pullen Parente,New York Stock Exchange,1.08E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
SNP,China Petroleum & Chemical Corporation,China Petroleum & Chemical,Oil & Gas - Integrated,China Petroleum & Chemical Corp is engaged in the oil & gas industry. Its activities involve exploration and development of crude oil and natural gas.,http://www.sinopec.com,SNP.png,,New York Stock Exchange,1.02E+11,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
EQNR,Equinor ASA,Equinor ASA,Oil & Gas - Integrated,"Equinor ASA formerly known as, Statoil ASA is an integrated oil and gas company exploring, producing, transporting, and marketing petroleum and petroleum-derived products. It has operations in Norway, North America, Africa, Asia and South America.",http://www.statoil.com,EQNR.png,Eldar Saetre,New York Stock Exchange,77727424526,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
PBR.A,Petroleo Brasileiro S.A.- Petrobras American Depositary Shares,Petroleo Brasileiro S.A.- Petrobras American Depositary Shares,Oil & Gas - Integrated,"Petroleo Brasileiro SA Petrobras is an oil and gas company focused on the exploration and production in Brazilian fields. Its segments include Exploration & Production; Refining, Transportation and Marketing; Distribution, Gas and Power and Biofuel.",http://www.petrobras.com.br,PBR.A.png,Pedro Pullen Parente,New York Stock Exchange,61857241017,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
E,ENI S.p.A.,ENI S.p.A.,Oil & Gas - Integrated,"Eni SpA together with its subsidiaries offers integrated energy services. It is engaged in exploring, producing, and refining oil and gas.",https://www.eni.com,E.png,Claudio Descalzi,New York Stock Exchange,61817492463,Energy,Energy,Oil & Gas Integrated,Oil & Gas - Integrated 
