ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
MPC,Marathon Petroleum Corporation,Marathon Petroleum,Oil & Gas - Refining & Marketing,"Marathon Petroleum Corp is engaged in the oil & gas sector. The company is engaged in refining, marketing, retail and transportation of petroleum products in the United States.",http://www.marathonpetroleum.com,MPC.png,Gary R. Heminger,New York Stock Exchange,45693052210,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
PSX,Phillips 66,Phillips 66,Oil & Gas - Refining & Marketing,Phillips 66 is an oil and gas company that purchases for resale and markets refined petroleum products. Its joint venture operates facilities in the United States and the Middle East and primarily produces olefins and polyolefins.,http://www.phillips66.com,PSX.png,Greg Garland,New York Stock Exchange,43853018027,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
VLO,Valero Energy Corporation,Valero Energy,Oil & Gas - Refining & Marketing,"Valero Energy Corp is a petroleum refining and marketing company. The company produces conventional gasolines, distillates, jet fuel, asphalt, petrochemicals, lubricants, and other refined products as well as a slate of premium products.",http://www.valero.com,VLO.png,Joseph W. Gorder,New York Stock Exchange,36197736125,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
HFC,HollyFrontier Corporation,HollyFrontier,Oil & Gas - Refining & Marketing,"HollyFrontier Corp is a petroleum refiner producing light products such as gasoline, diesel fuel, jet fuel, specialty lubricant products, and specialty and modified asphalt. Its products are supplied to refiners, convenience store chains and retailers.",http://www.hollyfrontier.com,HFC.png,George J. Damiris,New York Stock Exchange,9554254086,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one),Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one),Oil & Gas - Refining & Marketing,"Ultrapar Participacoes SA through its subsidiaries is engaged in distribution of LPG (liquefied petroleum gas) and fuel and related businesses, production and marketing of chemicals, and storage services for liquid bulk.",http://www.ultra.com.br,UGP.png,Frederico Curado,New York Stock Exchange,8443882426,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
SHI,SINOPEC Shangai Petrochemical Company Ltd.,SINOPEC Shangai Petrochemical Company,Oil & Gas - Refining & Marketing,"Sinopec Shanghai Petrochemical Co Ltd is a petrochemical company that produces over sixty different type of products including refined oil products, intermediate petrochemicals, synthetic resins and synthetic fibers.",http://www.spc.com.cn,,,New York Stock Exchange,5284185751,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
PBF,PBF Energy Inc. Class A,PBF Energy,Oil & Gas - Refining & Marketing,PBF Energy Inc is engaged in the oil and gas sector. It is a petroleum refiner and supplier of unbranded transportation fuels.,http://www.pbfenergy.com,PBF.png,Thomas J. Nimbley,New York Stock Exchange,4317226873,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
VVV,Valvoline Inc.,Valvoline,Oil & Gas - Refining & Marketing,"Valvoline Inc manufactures and distributes automotive, commercial, industrial lubricants, and automotive chemicals.",http://www.valvoline.com,VVV.png,Samuel J. Mitchell,New York Stock Exchange,4286391570,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
CVI,CVR Energy Inc.,CVR Energy,Oil & Gas - Refining & Marketing,CVR Energy Inc through its subsidiaries is engaged in the petroleum refining and nitrogen fertilizer manufacturing industries. Its business segments include petroleum and nitrogen fertilizer.,http://www.coffeyvillegroup.com,,David L. Lamp,New York Stock Exchange,3974979884,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
DK,Delek US Holdings Inc.,Delek US,Oil & Gas - Refining & Marketing,"Delek US Holdings Inc is an oil and gas company that is engaged in petroleum refining, transportation, storage and wholesale of crude oil and intermediate and refined products and convenience store retailing.",http://www.DelekUS.com,DK.png,Ezra Uzi Yemin,New York Stock Exchange,2618251795,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
SUN,Sunoco LP representing limited partner interests,Sunoco representing limited partner interests,Oil & Gas - Refining & Marketing,Sunoco LP is a wholesale and retail fuel distributor in the United States also manufactures the official fuel for NASCAR. It distributes fuel through an extensive line of distributes across the United States.,http://www.sunocolp.com,,Joseph Kim,New York Stock Exchange,2482835518,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
INT,World Fuel Services Corporation,World Fuel Services,Oil & Gas - Refining & Marketing,"World Fuel Services Corp is an energy management company. The company offers fuel and related products and services to commercial airlines, second and third tier airlines, regional and low cost carriers. Its segments are aviation, marine and land.",http://www.wfscorp.com,INT.png,Michael J. Kasbar,New York Stock Exchange,1672036039,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
NGL,NGL ENERGY PARTNERS LP representing Limited Partner Interests,NGL ENERGY PARTNERS representing Limited Partner Interests,Oil & Gas - Refining & Marketing,"NGL Energy Partners LP purchases propane, butane, and other natural gas liquids from refiners, processing plants, producers, and other parties, and sells the product to retailers, refiners, and other participants in the wholesale markets.",http://www.nglenergypartners.com,,H. Michael Krimbill,New York Stock Exchange,1389616618,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
REGI,Renewable Energy Group Inc.,Renewable Energy,Oil & Gas - Refining & Marketing,"Renewable Energy Group Inc (REG) is a producer of biofuels. It is engaged in providing cleaner, lower carbon intensity products, and services. REG generates most of its revenue from the United States of America.",http://www.regi.com,,Cynthia Warner,Nasdaq Global Select,1057260110,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
CAPL,CrossAmerica Partners LP representing limited partner interests,CrossAmerica Partners representing limited partner interests,Oil & Gas - Refining & Marketing,"CrossAmerica Partners LP is engaged in the wholesale distribution of motor fuels, consisting of gasoline and diesel fuel. It also owns and leases real estate used in the retail distribution of motor fuels.",http://www.crossamericapartners.com,,Gerardo Valencia,New York Stock Exchange,606216389,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
BPT,BP Prudhoe Bay Royalty Trust,BP Prudhoe Bay Royalty Trust,Oil & Gas - Refining & Marketing,BP Prudhoe Bay Royalty Trust was formed for the purpose of owning and administering the royalty interest.,,,,New York Stock Exchange,500546000,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing 
