ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
GOOG,Alphabet Inc.,Alphabet,Online Media,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads.",https://www.abc.xyz,GOOG.png,Larry Page,Nasdaq Global Select,7.88E+11,Technology,Technology,Internet Content & Information,Online Media 
GOOGL,Alphabet Inc.,Alphabet,Online Media,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads.",https://www.abc.xyz,GOOGL.png,Larry Page,Nasdaq Global Select,7.76E+11,Technology,Technology,Internet Content & Information,Online Media 
FB,Facebook Inc.,Facebook,Online Media,"Facebook Inc is the world's largest online social network. Its products are Facebook, Instagram, Messenger, WhatsApp, and Oculus. Its products enable people to connect and share through mobile devices and personal computers.",http://www.facebook.com,FB.png,Mark Zuckerberg,Nasdaq Global Select,4.83E+11,Technology,Technology,Internet Content & Information,Online Media 
IQ,iQIYI Inc.,iQIYI,Online Media,"iQIYI Inc is a platform in China offering a range of collection of internet video content, including professionally-produced content licensed from professional content providers and self-produced content, on its platform.",http://www.iqiyi.com,IQ.png,Yu Gong,Nasdaq Global Select,1.05E+11,Technology,Technology,Internet Content & Information,Online Media 
BIDU,Baidu Inc.,Baidu,Online Media,Baidu Inc is one of the world's leading Chinese-language Internet search engine. The company through its website primarily serves over 0.8 million advertisers which include small and medium-size businesses.,http://www.ir.baidu.com,BIDU.png,Yanhong Robin Li,Nasdaq Global Select,60628623806,Technology,Technology,Internet Content & Information,Online Media 
NTES,NetEase Inc.,NetEase,Online Media,"NetEase Inc functions in the internet content market. Through online communities, it provides Chinese language content and value added services.",http://www.netease.com,,William Lei Ding,Nasdaq Global Select,33358145935,Technology,Technology,Internet Content & Information,Online Media 
TWTR,Twitter Inc.,Twitter,Online Media,"Twitter Inc is a social networking platform for public self-expression and conversation in real time. Its services are live, which includes live commentary, live connections, and live conversations. It generates a majority of its revenue from advertising.",https://www.twitter.com,TWTR.png,Jack Dorsey,New York Stock Exchange,25920571659,Technology,Technology,Internet Content & Information,Online Media 
SPOT,Spotify Technology S.A.,Spotify Technology S.A.,Online Media,Spotify Technology SA offers music streaming subscription service. Its platform includes Monthly active users and Premium Subscribers. It operates and manages business in two reportable segments Premium and Ad-Supported.,http://www.spotify.com,SPOT.png,Daniel Ek,New York Stock Exchange,25084427549,Technology,Technology,Internet Content & Information,Online Media 
TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A,Tencent Music Entertainment American Depositary Shares each representing two,Online Media,,,,Kar Shun Cussion Pang,New York Stock Exchange,23812160241,Technology,Technology,Internet Content & Information,Online Media 
VRSN,VeriSign Inc.,VeriSign,Online Media,VeriSign Inc is a part of the internet content industry. It provides domain name registry and internet security for websites and enterprises around the world.,https://www.Verisign.com,VRSN.png,D. James Bidzos,Nasdaq Global Select,20916113909,Technology,Technology,Internet Content & Information,Online Media 
IAC,IAC/InterActiveCorp,IAC/InterActiveCorp,Online Media,"IAC/InterActiveCorp is an Internet media company engaged in a variety of businesses. It's business segments include Match Group, HomeAdvisor, video, applications, publishing, and other.",http://www.iac.com,,Joseph Levin,Nasdaq Global Select,17579694053,Technology,Technology,Internet Content & Information,Online Media 
MTCH,Match Group Inc.,Match,Online Media,"Match Group Inc primarily offers online dating products and services through over 45 online dating brands, Tinder being the most well known. The company also has a non-dating business which provides test preparation and tutoring services.",http://www.mtch.com,MTCH.png,Amanda Wayne Ginsberg,Nasdaq Global Select,15294737205,Technology,Technology,Internet Content & Information,Online Media 
WB,Weibo Corporation,Weibo,Online Media,"Weibo Corp operates in the internet content industry in China. It offers a social media platform for people to create, distribute and discover Chinese-language content.",http://ir.weibo.com,,Gaofei Wang,Nasdaq Global Select,13822240070,Technology,Technology,Internet Content & Information,Online Media 
