ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
SCI,Service Corporation International,Service International,Personal Services,"Service Corp International is a personal services company that provides funeral and cemetery services. It derives its revenue from its funeral locations, while the cemetery division also generates a significant amount of total income.",http://www.sci-corp.com,SCI.png,Thomas L. Ryan,New York Stock Exchange,7835198478,Consumer Cyclical,Consumer Cyclical,Personal Services, 
BFAM,Bright Horizons Family Solutions Inc.,Bright Horizons Family Solutions,Personal Services,Bright Horizons Family Solutions Inc is a provider of high-quality child care and early education services as well as other services designed to help employers and families address the challenges of work and life.,http://www.brighthorizons.com,,Stephen Howard Kramer,New York Stock Exchange,6742425262,Consumer Cyclical,Consumer Cyclical,Personal Services, 
HRB,H&R Block Inc.,H&R Block,Personal Services,"H&R Block Inc is a consumer tax services provider. It provides assisted income tax return preparation, digital do-it-yourself tax solutions and other services and products related to income tax return preparation to the public in the United States.",http://www.hrblock.com,HRB.png,Jeffrey J. Jones,New York Stock Exchange,4854566990,Consumer Cyclical,Consumer Cyclical,Personal Services, 
WTW,Weight Watchers International Inc,Weight Watchers International,Personal Services,"Weight Watchers International Inc is a commercial provider of weight management service. Its services and products include digital weight management products provided through websites, mobile sites and apps, products sold at meetings and retail channels.",http://www.weightwatchersinternational.com,WTW.png,Mindy F. Grossman,Nasdaq Global Select,2115393487,Consumer Cyclical,Consumer Cyclical,Personal Services, 
SFLY,Shutterfly Inc.,Shutterfly,Personal Services,"Shutterfly Inc is an online manufacturer and retailer of personalized products and services. Its brands include Shutterfly, Tiny Prints, Wedding Paper Divas, MyPublisher, BorrowLenses and Groovebook.",http://www.shutterflyinc.com,SFLY.png,Christopher North,Nasdaq Global Select,1511529151,Consumer Cyclical,Consumer Cyclical,Personal Services, 
NTRI,NutriSystem Inc,NutriSystem,Personal Services,Nutrisystem Inc is a provider of weight loss solutions and weight management products and services in the United States.,http://www.nutrisystem.com,NTRI.png,Dawn M. Zier,Nasdaq Global Select,1278591414,Consumer Cyclical,Consumer Cyclical,Personal Services, 
RGS,Regis Corporation,Regis,Personal Services,"Regis Corp owns, franchises and operates beauty salons throughout North America and the United Kingdom. The company's locations provide salon products and services to the mass market, including haircutting, styling, and hair coloring.",http://www.regiscorp.com,RGS.png,Hugh E. Sawyer,New York Stock Exchange,733091284,Consumer Cyclical,Consumer Cyclical,Personal Services, 
EVI,EVI Industries Inc.,EVI Industries,Personal Services,"EnviroStar Inc through its subsidiary sells commercial and industrial laundry and drycleaning equipment and steam and hot water boilers manufactured by others, as well as related replacement parts and accessories. It also provides maintenance services.",http://www.envirostarinc.com,,Henry M. Nahmad,NYSE American,411024492,Consumer Cyclical,Consumer Cyclical,Personal Services, 
CSV,Carriage Services Inc.,Carriage Services,Personal Services,"Carriage Services Inc is a provider of death care services and merchandise in the United States. It operates Funeral Home Operations and Cemetery Operations. It provides funeral services and sell related merchandise, such as caskets and urns.",http://www.carriageservices.com,CSV.png,Melvin C. Payne,New York Stock Exchange,378506742,Consumer Cyclical,Consumer Cyclical,Personal Services, 
STON,StoneMor Partners L.P. Rep Limited Partnership Interests,StoneMor Partners Rep Limited Partnership Interests,Personal Services,"Stonemor Partners LP mainly provides various products and services through the ownership, development, and operation of cemeteries and funeral homes in multiple states. It sells products and services at the time of death and prior to death (preneed).",http://www.stonemor.com,STON.png,Joseph M. Redling,New York Stock Exchange,115735909,Consumer Cyclical,Consumer Cyclical,Personal Services, 
YOGA,YogaWorks Inc.,YogaWorks,Personal Services,YogaWorks Inc is a healthy lifestyle brand focused on enriching and transforming lives through yoga.,http://www.yogaworks.com,YOGA.png,Rosanna McCollough,NASDAQ Global Market,10476149,Consumer Cyclical,Consumer Cyclical,Personal Services, 
XSPA,XpresSpa Group Inc.,XpresSpa,Personal Services,XpresSpa Group Inc is a health and wellness holding company. The company is engaged in building a preeminent pure-play health and wellness services company around its core asset XpresSpa.,http://www.xpresspagroup.com,,Edward Jankowski,NASDAQ Capital Market,6833301,Consumer Cyclical,Consumer Cyclical,Personal Services, 
