ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
SPG,Simon Property Group Inc.,Simon Property,REITs,"Simon Property Group Inc is real estate investment trust. It owns, develops and manages retail real estate properties including malls, outlets and community and lifestyle centers.",http://www.simon.com,SPG.png,David Simon,New York Stock Exchange,56253193956,Real Estate,Real Estate,REIT - Retail,REITs 
CCI,Crown Castle International Corp. (REIT),Crown Castle International (REIT),REITs,"Crown Castle International Corp operates wireless tower communication sites in the United States. It owns, operates and leases shared wireless infrastructure, including towers and other structures. Site rental generates maximum revenue for the company.",http://www.crowncastle.com,CCI.png,Jay A. Brown,New York Stock Exchange,48803005997,Real Estate,Real Estate,REIT - Diversified,REITs 
PLD,Prologis Inc.,Prologis,REITs,"Prologis Inc is a real estate investment trust that develops, acquires, and operates industrial and logistics facilities across over 18 countries. It operates in two business segments that are Real Estate Operations and Strategic Capital.",http://www.prologis.com,PLD.png,Hamid R. Moghadam,New York Stock Exchange,43550885400,Real Estate,Real Estate,REIT - Industrial,REITs 
PSA,Public Storage,Public Storage,REITs,"Public Storage is a part of the real estate sector. It is engaged in the acquisition, development, ownership and operation of self-storage facilities.",http://www.publicstorage.com,,,New York Stock Exchange,36296584061,Real Estate,Real Estate,REIT - Industrial,REITs 
EQIX,Equinix Inc.,Equinix,REITs,"Equinix Inc is a network-neutral provider of retail data center, co-location, and interconnection services. Its client base includes network services firms, cloud and IT service providers, financial service firms, digital, and media content providers.",http://www.equinix.com,EQIX.png,Charles Meyers,Nasdaq Global Select,31777560350,Real Estate,Real Estate,REIT - Diversified,REITs 
WELL,Welltower Inc.,Welltower,REITs,"Welltower Inc is engaged in the transformation of healthcare infrastructure. It invests in seniors housing operators, post-acute providers and health systems to improve people's wellness and overall health care experience.",http://www.welltower.com,WELL.png,Thomas J. Derosa,New York Stock Exchange,28826952407,Real Estate,Real Estate,REIT - Healthcare Facilities,REITs 
EQR,Equity Residential of Beneficial Interest,Equity Residential of Beneficial Interest,REITs,"Equity Residential is a real estate investment trust which is focused on the acquisition, development and management of rental apartment properties in urban and high-density suburban coastal gateway markets in the US.",http://www.eqr.com,EQR.png,Mark J. Parrell,New York Stock Exchange,26889001669,Real Estate,Real Estate,REIT - Residential,REITs 
AVB,AvalonBay Communities Inc.,AvalonBay Communities,REITs,"AvalonBay Communities Inc operates in the real estate sector. As an investment trust, it develops multifamily communities in the United States.",http://www.avalonbay.com,AVB.png,Timothy J. Naughton,New York Stock Exchange,26585728537,Real Estate,Real Estate,REIT - Residential,REITs 
VTR,Ventas Inc.,Ventas,REITs,"Ventas Inc is a real estate investment trust. It holds a diversified portfolio of seniors housing communities, skilled nursing facilities, medical office buildings, life science buildings, and hospitals.",http://www.ventasreit.com,,Debra A. Cafaro,New York Stock Exchange,22642832179,Real Estate,Real Estate,REIT - Healthcare Facilities,REITs 
DLR,Digital Realty Trust Inc.,Digital Realty Trust,REITs,Digital Realty Trust Inc is a real estate investment trust. It owns and operates IT-related properties includes datacenter infrastructure that supports the applications and day-to-day operations of social networking and mobile communications.,http://www.digitalrealtytrust.com,DLR.png,A. William Stein,New York Stock Exchange,22542499473,Real Estate,Real Estate,REIT - Office,REITs 
