ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
AMZN,Amazon.com Inc.,Amazon.com,Retail - Apparel & Specialty,"Amazon.com Inc is an online retailer. The Company sells its products through the website which provides services, such as advertising services and co-branded credit card agreements. It also offers electronic devices like Kindle e-readers and Fire tablets.",http://www.amazon.com,AMZN.png,Jeffrey P. Bezos,Nasdaq Global Select,8.02E+11,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
BABA,Alibaba Group Holding Limited,Alibaba Holding Limited,Retail - Apparel & Specialty,"Alibaba Group Holding Ltd is an online and mobile commerce company. It operates China's most popular online marketplaces such as Taobao (C2C), Tmall (B2C), and Juhuasuan. It also engages in advertising, digital media, cloud computing, and other.",http://www.alibabagroup.com,BABA.png,Yong Daniel Zhang,New York Stock Exchange,4.32E+11,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
HD,Home Depot Inc. (The),Home Depot (The),Retail - Apparel & Specialty,"The Home Depot Inc is a home improvement specialty retailer. Its stores sell an assortment of building materials, home improvement and lawn and garden products and provide a number of services.",http://www.homedepot.com,HD.png,Craig A. Menear,New York Stock Exchange,2.11E+11,Consumer Cyclical,Consumer Cyclical,Home Improvement Stores,Retail - Apparel & Specialty 
TJX,TJX Companies Inc. (The),TJX Companies (The),Retail - Apparel & Specialty,"TJX Companies Inc is an off-price apparel and home fashions retailer in the United States and other countries. Its stores offer family apparel, including footwear and accessories, home fashions, such as home basics, accent furniture, lamps, among others.",http://www.tjx.com,TJX.png,Ernie L. Herrman,New York Stock Exchange,1.21E+11,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
LOW,Lowe's Companies Inc.,Lowe's Companies,Retail - Apparel & Specialty,"Lowe's Companies Inc is a home-improvement products dealer. The firm's stores offer products and services for home decorating, maintenance, repair, and remodeling.",http://www.lowes.com,LOW.png,Marvin R. Ellison,New York Stock Exchange,78521165715,Consumer Cyclical,Consumer Cyclical,Home Improvement Stores,Retail - Apparel & Specialty 
JD,JD.com Inc.,JD.com,Retail - Apparel & Specialty,JD.com Inc is an online direct sales company in China. It acquires products from suppliers and sells them directly to its customers through its website and mobile applications.,http://www.jd.com,JD.png,Qiangdong Richard Liu,Nasdaq Global Select,36205744575,Consumer Cyclical,Technology,Internet Content & Information,Online Media 
ROST,Ross Stores Inc.,Ross Stores,Retail - Apparel & Specialty,"Ross Stores Inc is the off-price apparel and home fashion chains which is engaged in selling name-brand and designer apparel, accessories, footwear, and home fashions to middle-income consumers.",http://www.rossstores.com,ROST.png,Barbara Rentler,Nasdaq Global Select,34386936608,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
PDD,Pinduoduo Inc.,Pinduoduo,Retail - Apparel & Specialty,,http://www.pinduoduo.com,,Zheng Huang,Nasdaq Global Select,34097663699,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
EBAY,eBay Inc.,eBay,Retail - Apparel & Specialty,"eBay Inc is a commerce platform and provides online marketplace for sale of goods. Its marketplace platforms include its online marketplace located at www.ebay.com, its localized counterparts and the eBay mobile apps.",http://www.ebay.com,EBAY.png,Devin N. Wenig,Nasdaq Global Select,32066559808,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
ORLY,O'Reilly Automotive Inc.,O'Reilly Automotive,Retail - Apparel & Specialty,"O'Reilly Automotive Inc acts as a seller of aftermarket automotive parts, tools, and accessories, serving professional and DIY (do-it-yourself) customers in the US.",http://www.oreillyauto.com,ORLY.png,Gregory D. Johnson,Nasdaq Global Select,28779089106,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
AZO,AutoZone Inc.,AutoZone,Retail - Apparel & Specialty,"AutoZone Inc is a retailer and distributor of automotive replacement parts in the United States. The company's store sell a diverse range of essentials and auto parts for cars, sport utility vehicles, vans and light trucks.",http://www.autozone.com,AZO.png,William C. Rhodes,New York Stock Exchange,21914343880,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
LULU,lululemon athletica inc.,lululemon athletica,Retail - Apparel & Specialty,Lululemon Athletica Inc is a designer and retailer of technical athletic apparel operating in North America and Australia. Its yoga-inspired apparel is marketed under the lululemon athletica and ivivva athletica brand names.,http://www.lululemon.com,LULU.png,Calvin McDonald,Nasdaq Global Select,19876487729,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
ULTA,Ulta Beauty Inc.,Ulta Beauty,Retail - Apparel & Specialty,"Ulta Beauty Inc operates as a beauty retailer in the United States. It offers cosmetics, fragrance, skin, hair care products and salon services.",http://www.ulta.com,ULTA.png,Mary N. Dillon,Nasdaq Global Select,17303725182,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
MELI,MercadoLibre Inc.,MercadoLibre,Retail - Apparel & Specialty,"MercadoLibre Inc is an e-commerce company. It hosts the online commerce platform in Latin America, which is focused on enabling e-commerce and its related services. The company generates most of its revenue from Brazil, Argentina, Venezuela, and Mexico.",http://www.mercadolibre.com,MELI.png,Marcos Galperin,Nasdaq Global Select,16820435862,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
BBY,Best Buy Co. Inc.,Best Buy Co.,Retail - Apparel & Specialty,"Best Buy Co Inc is a U.S transnational consumer electronics company. Its products include tablets and computers, televisions, mobile phones, large and small appliances, entertainment products, digital imaging and related accessories.",http://www.bestbuy.com,BBY.png,Hubert Joly,New York Stock Exchange,15933503900,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
GPC,Genuine Parts Company,Genuine Parts Company,Retail - Apparel & Specialty,"Genuine Parts Co sells automotive parts, industrial and electrical components, and office products. The company sells bearings, power transmission, hydraulic and other products to its commercial and retail customers.",http://www.genpt.com,GPC.png,Paul D. Donahue,New York Stock Exchange,14879922689,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
AAP,Advance Auto Parts Inc W/I,Advance Auto Parts,Retail - Apparel & Specialty,"Advance Auto Parts Inc is an automotive aftermarket parts provider serving professional installers, DIY (do-it-yourself) customer and independently-owned operators.",https://shop.advanceautoparts.com,AAP.png,Thomas R. Greco,New York Stock Exchange,11761401561,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
KSS,Kohl's Corporation,Kohl's,Retail - Apparel & Specialty,"Kohl's Corp is an American broadlines retailer. It operates department stores that sell moderately priced exclusive and national brand apparel, footwear, accessories, beauty and home products. The company also has an e-commerce platform.",https://www.kohlscorporation.com,KSS.png,Michelle D. Gass,New York Stock Exchange,11208156057,Consumer Cyclical,Consumer Cyclical,Department Stores,Retail - Apparel & Specialty 
TPR,Tapestry Inc.,Tapestry,Retail - Apparel & Specialty,"Tapestry Inc functions in the luxury goods industry. Its products include women's and men's bags, accessories, business cases, footwear, wearables and jewelry.",http://www.tapestry.com,TPR.png,Victor Luis,New York Stock Exchange,11186125291,Consumer Cyclical,Consumer Cyclical,Luxury Goods,Retail - Apparel & Specialty 
