ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
INTC,Intel Corporation,Intel,Semiconductors,"Intel Corp is the world's largest chipmaker. It engaged in making a semiconductor chip. It designs and manufactures integrated digital technology products like integrated circuits, for industries such as computing and communications.",http://www.intel.com,INTC.png,Robert H. Swan,Nasdaq Global Select,2.25E+11,Technology,Technology,Semiconductors, 
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Taiwan Semiconductor Manufacturing Company,Semiconductors,"Taiwan Semiconductor Manufacturing Co Ltd engages in the manufacturing, selling, packaging, testing and computer-aided design of integrated circuits and other semiconductor devices. In addition, it also manufactures masks.",http://www.tsmc.com,TSM.png,Mark Liu / C.C Wei,New York Stock Exchange,1.97E+11,Technology,Technology,Semiconductors, 
AVGO,Broadcom Inc.,Broadcom,Semiconductors,"Broadcom Inc is engaged in designing, developing and supplying analog and digital semiconductor connectivity solutions. Its product portfolio serves wired infrastructure, wireless communications, enterprise storage and industrial and other end markets.",https://www.broadcom.com,,Hock E. Tan,Nasdaq Global Select,1.11E+11,Technology,Technology,Semiconductors, 
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,Semiconductors,"Texas Instruments Inc designs and makes semiconductors that it sells to electronics designers and manufacturers. It also manufactures digital signal processors used in wireless communications, and microcontrollers used in various electronics applications.",http://www.ti.com,TXN.png,Richard K. Templeton,Nasdaq Global Select,95961109248,Technology,Technology,Semiconductors, 
NVDA,NVIDIA Corporation,NVIDIA,Semiconductors,"NVIDIA Corp is a developer of graphics processing unit. It caters to areas like gaming, professional visualization, datacenter and automobiles.",http://www.nvidia.com,NVDA.png,Jen-Hsun Huang,Nasdaq Global Select,91862950000,Technology,Technology,Semiconductors, 
ASML,ASML Holding N.V.,ASML Holding N.V.,Semiconductors,"ASML Holding NV is a part of the semiconductor industry. Its products include memory chip and logic chip, TWINSCAN systems, equipped with i-line, KrF and ArF light sources.",http://www.asml.com,ASML.png,Peter T.F.M. Wennink,Nasdaq Global Select,76592765792,Technology,Technology,Semiconductor Equipment & Materials,Semiconductors 
QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,Semiconductors,"Qualcomm Inc develops and licenses wireless technology. It also engages in designing chips for mobile phones. The company is also the world's largest wireless chip vendor, supplying many premier handset makers with leading-edge processors.",http://www.qualcomm.com,QCOM.png,Steven M. Mollenkopf,Nasdaq Global Select,61271725708,Technology,Technology,Semiconductors, 
MU,Micron Technology Inc.,Micron Technology,Semiconductors,"Micron Technology Inc along with its subsidiaries provide memory and storage solutions. Its product portfolio consists of memory and storage technologies such as DRAM, NAND, NOR and 3D XPoint memory.",http://www.micron.com,,Sanjay Mehrotra,Nasdaq Global Select,44993213679,Technology,Technology,Semiconductor Memory,Semiconductors 
AMAT,Applied Materials Inc.,Applied Materials,Semiconductors,"Applied Materials Inc is a supplier of semiconductor manufacturing equipment. It provides manufacturing equipment, services and software to the semiconductor, flat panel display, solar photovoltaic and related industries.",http://www.appliedmaterials.com,AMAT.png,Gary E. Dickerson,Nasdaq Global Select,37105015322,Technology,Technology,Semiconductor Equipment & Materials,Semiconductors 
ADI,Analog Devices Inc.,Analog Devices,Semiconductors,"Analog Devices Inc is engaged in the semiconductor industry. Its business involves designing, manufacturing and marketing of high-performance analog, mixed-signal and digital signal processing integrated circuits used in all types of electronic equipment.",http://www.analog.com,ADI.png,Vincent T. Roche,Nasdaq Global Select,36819192154,Technology,Technology,Semiconductors, 
XLNX,Xilinx Inc.,Xilinx,Semiconductors,"Xilinx Inc is a semiconductor manufacturing company. It engages in designing programmable logic such as chips for multiple applications that include communications, data processing, industrial, and automobile markets.",http://www.xilinx.com,XLNX.png,Victor Peng,Nasdaq Global Select,27959420564,Technology,Technology,Semiconductors, 
NXPI,NXP Semiconductors N.V.,NXP Semiconductors N.V.,Semiconductors,"NXP Semiconductors NV is a semiconductor company. It mainly provides high-performance mixed signal and standard product solutions for automotive, identification, wireless infrastructure, industrial, mobile, consumer and computing applications.",http://www.nxp.com,NXPI.png,Richard L. Clemmer,Nasdaq Global Select,26671988767,Technology,Technology,Semiconductors, 
LRCX,Lam Research Corporation,Lam Research,Semiconductors,Lam Research Corp functions in the semiconductor industry. It develops and sells semiconductor processing systems that are used in the fabrication of integrated circuits.,http://www.lamrc.com,LRCX.png,Timothy M. Archer,Nasdaq Global Select,26375015557,Technology,Technology,Semiconductor Equipment & Materials,Semiconductors 
AMD,Advanced Micro Devices Inc.,Advanced Micro Devices,Semiconductors,"Advanced Micro Devices Inc designs and produces microprocessors and low-power processor solutions for the computer, communications, and consumer electronics industries.",http://www.amd.com,AMD.png,Lisa T. Su,Nasdaq Global Select,24115696122,Technology,Technology,Semiconductors, 
MCHP,Microchip Technology Incorporated,Microchip Technology Incorporated,Semiconductors,"Microchip Technology Inc develops, manufactures and sells semiconductor products used for a range of embedded control applications. It also provides license Flash-IP solutions.",http://www.microchip.com,MCHP.png,Steve Sanghi,Nasdaq Global Select,19599555856,Technology,Technology,Semiconductors, 
KLAC,KLA-Tencor Corporation,KLA-Tencor,Semiconductors,KLA-Tencor Corp designs and manufactures yield-management and process-monitoring systems for the semiconductor industry. The company also provides systems for optical metrology and e-beam metrology.,http://www.kla-tencor.com,KLAC.png,Richard P. Wallace,Nasdaq Global Select,16181567137,Technology,Technology,Semiconductor Equipment & Materials,Semiconductors 
MXIM,Maxim Integrated Products Inc.,Maxim Integrated Products,Semiconductors,"Maxim Integrated Products Inc designs, develops, manufactures and markets a range of linear and mixed-signal integrated circuits, commonly referred to as analog circuits, for number of customers in diverse geographical locations.",http://www.maximintegrated.com,MXIM.png,Tunç Doluca,Nasdaq Global Select,15289714757,Technology,Technology,Semiconductors, 
STM,STMicroelectronics N.V.,STMicroelectronics N.V.,Semiconductors,"STMicroelectronics NV is a semiconductor company. It designs, develops, manufactures and markets semiconductor products used in different microelectronic applications, including automotive products, consumer products and control systems and others.",http://www.st.com,STM.png,Jean-Marc Chery,New York Stock Exchange,14052686439,Technology,Technology,Semiconductors, 
SWKS,Skyworks Solutions Inc.,Skyworks Solutions,Semiconductors,"Skyworks Solutions Inc is engaged in producing semiconductors for wireless handsets that are used to enable wireless connectivity. Its products include power amplifiers, filters, and integrated front-end modules.",http://www.skyworksinc.com,SWKS.png,Liam K. Griffin,Nasdaq Global Select,13129331921,Technology,Technology,Semiconductors, 
MRVL,Marvell Technology Group Ltd.,Marvell Technology,Semiconductors,"Marvell Technology Group Ltd and its subsidiaries is a fabless semiconductor provider of application-specific standard products. The company's product portfolio includes devices for storage, networking and connectivity.",http://www.marvell.com,MRVL.png,Matthew J. Murphy,Nasdaq Global Select,12194770000,Technology,Technology,Semiconductors, 
