ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
MT,Arcelor Mittal NY Registry Shares NEW,Arcelor Mittal NY Registry Shares NEW,Steel,"ArcelorMittal SA is an integrated steel and mining company. The company produces diversified portfolio of iron ore and coal assets as well as steel flat products, including sheet and plate, and long products, including bars, rods and structural shapes.",http://www.arcelormittal.com,MT.png,Lakshmi Niwas Mittal,New York Stock Exchange,23919032021,Basic Materials,Basic Materials,Steel, 
PKX,POSCO,POSCO,Steel,POSCO is the producer of steel in Korea. The company is engaged in the manufacturing and distribution of steel rolled products and plates in the domestic and overseas markets.,http://www.posco.com,PKX.png,Oh-Joon Kwon,New York Stock Exchange,19400803625,Basic Materials,Basic Materials,Steel, 
NUE,Nucor Corporation,Nucor,Steel,Nucor Corp and its affiliates are engaged in the manufacturing of steel and steel products. It also produces direct reduced iron for use in the steel mills. The company is involved in every phase of the steelmaking.,http://www.nucor.com,,John J. Ferriola,New York Stock Exchange,18723560570,Basic Materials,Basic Materials,Steel, 
STLD,Steel Dynamics Inc.,Steel Dynamics,Steel,"Steel Dynamics Inc is a steel producers and metal recycler in the United States. The company produces steel sheet products, long products and steel finishing products. It also operates metals recycling and steel fabrication business.",http://www.steeldynamics.com,STLD.png,Mark D. Millett,Nasdaq Global Select,8502614451,Basic Materials,Basic Materials,Steel, 
GGB,Gerdau S.A.,Gerdau S.A.,Steel,"Gerdau SA is engaged in the production and commercialization of steel products. The company's mills located in Argentina, Brazil, Canada, Chile, Colombia, the United States, India, Mexico, Peru, among others.",http://www.gerdau.com,GGB.png,Gustavo Werneck da Cunha,New York Stock Exchange,7336204475,Basic Materials,Basic Materials,Steel, 
TX,Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value),Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value),Steel,"Ternium SA is a producer of steel products. It is engaged in manufacturing and processing of flat and long steel products for construction, home appliances, capital goods, container, food, energy and automotive industries.",http://www.ternium.com,TX.png,Maximo Vedoya,New York Stock Exchange,5987384149,Basic Materials,Basic Materials,Steel, 
RS,Reliance Steel & Aluminum Co. (DE),Reliance Steel & Aluminum Co. (DE),Steel,"Reliance Steel & Aluminum Co is engaged in providing metal processing and inventory management services for carbon and stainless steel, aluminum, alloys, brass and copper, and titanium.",http://www.rsac.com,RS.png,James D. Hoffman,New York Stock Exchange,5858537586,Basic Materials,Basic Materials,Steel, 
X,United States Steel Corporation,United States Steel,Steel,"United States Steel Corp is an integrated steel producer. Its products include flat-rolled and tubular products with production operations in North America and Europe. Its products cater to automotive, construction and energy companies.",http://www.ussteel.com,X.png,David B. Burritt,New York Stock Exchange,3965414000,Basic Materials,Basic Materials,Steel, 
SID,Companhia Siderurgica Nacional S.A.,Companhia Siderurgica Nacional S.A.,Steel,"Companhia Siderurgica Nacional is an integrated steel producer. The company operates in five segments namely, Steel, Mining, Logistics, Energy and Cement.",http://www.csn.com.br,SID.png,Benjamin Steinbruch,New York Stock Exchange,3664204122,Basic Materials,Basic Materials,Steel, 
WOR,Worthington Industries Inc.,Worthington Industries,Steel,"Worthington Industries Inc is metals manufacturing company. Its products are pressure cylinders for liquefied petroleum gas, compressed natural gas, oxygen, cylinders, helium-filled balloon kits, steel and fiberglass tanks and processing equipment.",http://www.worthingtonindustries.com,WOR.png,John P. Mcconnell,New York Stock Exchange,2158786243,Basic Materials,Basic Materials,Steel, 
