ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
UNP,Union Pacific Corporation,Union Pacific,Transportation & Logistics,"Union Pacific Corp belongs to the rail transport industry. It provides railroad freight transportation services in North America. It transports coal, rocks, soda ash, and grains.",http://www.up.com,UNP.png,Lance M. Fritz,New York Stock Exchange,1.18E+11,Industrials,Industrials,Railroads,Transportation & Logistics 
UPS,United Parcel Service Inc.,United Parcel Service,Transportation & Logistics,"United Parcel Service Inc is a package delivery organization and provider of supply chain management solutions. Its services include transportation, distribution, contract logistics, ground freight, ocean freight, air freight, insurance and financing.",http://www.ups.com,UPS.png,David P. Abney,New York Stock Exchange,91638690000,Industrials,Industrials,Integrated Shipping & Logistics,Transportation & Logistics 
CNI,Canadian National Railway Company,Canadian National Railway Company,Transportation & Logistics,Canadian National Railway Co is engaged in the transport sector. Its primary occupation is the rail and related transportation business.,http://www.cn.ca,CNI.png,Jean-Jacques Ruest,New York Stock Exchange,60305009408,Industrials,Industrials,Railroads,Transportation & Logistics 
CSX,CSX Corporation,CSX,Transportation & Logistics,"CSX Corp is a railroad operating company with operations spread across the Eastern United States. The company hauls shipments of coal products, chemicals, intermodal containers, and a diverse mix of other merchandise.",http://www.csx.com,CSX.png,James M. Foote,Nasdaq Global Select,56930820739,Industrials,Industrials,Railroads,Transportation & Logistics 
FDX,FedEx Corporation,FedEx,Transportation & Logistics,"FedEx Corp is the world's largest express courier delivery firm. The company provides courier services through various divisions which include express, ground, office, freight, cross border, trade networks and supply chain.",http://www.fedex.com,FDX.png,Frederick W. Smith,New York Stock Exchange,47700501596,Industrials,Industrials,Integrated Shipping & Logistics,Transportation & Logistics 
NSC,Norfolk Southern Corporation,Norfolk Southern,Transportation & Logistics,"Norfolk Southern Corp conducts rail transportation business. It transports raw materials, intermediate products, and finished goods in the United States.",http://www.nscorp.com,NSC.png,James A. Squires,New York Stock Exchange,45308641768,Industrials,Industrials,Railroads,Transportation & Logistics 
CP,Canadian Pacific Railway Limited,Canadian Pacific Railway Limited,Transportation & Logistics,"Canadian Pacific Railway Ltd is engaged in rail transportation. It provides freight transportation services, logistics solutions, and supply chain expertise in Canada and the United States.",http://www.cpr.ca,CP.png,Keith E. Creel,New York Stock Exchange,28710316896,Industrials,Industrials,Railroads,Transportation & Logistics 
ZTO,ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A.,ZTO Express (Cayman) American Depositary Shares each representing one A.,Transportation & Logistics,ZTO Express (Cayman) Inc is an express delivery company in China. It provides express delivery service through its nationwide network as well as other value-added logistics services.,http://www.zto.com,,Meisong Lai,New York Stock Exchange,13850148099,Industrials,Industrials,Business Services,Integrated Shipping & Logistics 
CHRW,C.H. Robinson Worldwide Inc.,C.H. Robinson Worldwide,Transportation & Logistics,C.H. Robinson Worldwide Inc is a non-asset-based third-party logistics provider. The company provides domestic freight brokerage services. It also operates a growing air and ocean forwarding unit and a legacy produce-sourcing operation.,http://www.chrobinson.com,CHRW.png,John P. Wiehoff,Nasdaq Global Select,12185639308,Industrials,Industrials,Integrated Shipping & Logistics,Transportation & Logistics 
EXPD,Expeditors International of Washington Inc.,Expeditors International of Washington,Transportation & Logistics,Expeditors International of Washington Inc is a third-party logistics provider focused on international freight forwarding. The firm operates more than 150 full-service office locations worldwide.,http://www.expeditors.com,EXPD.png,Jeffrey S. Musser,Nasdaq Global Select,12122726938,Industrials,Industrials,Integrated Shipping & Logistics,Transportation & Logistics 
JBHT,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services,Transportation & Logistics,"JB Hunt Transport Services Inc, together with its wholly owned subsidiaries provides surface transportation and delivery services to a group of customers and consumers throughout the continental United States, Canada and Mexico.",http://www.jbhunt.com,JBHT.png,John N. Roberts,Nasdaq Global Select,11803840380,Industrials,Industrials,Integrated Shipping & Logistics,Transportation & Logistics 
ODFL,Old Dominion Freight Line Inc.,Old Dominion Freight Line,Transportation & Logistics,"Old Dominion Freight Lines Inc is a leading, less-than-truckload (LTL) union-free company providing premium service to all its customers. The company offers regional, inter-regional and national LTL service and value-added logistics services.",http://www.odfl.com,ODFL.png,David S. Congdon / Greg C. Gantt,Nasdaq Global Select,11624870619,Industrials,Industrials,Trucking,Transportation & Logistics 
KSU,Kansas City Southern,Kansas City Southern,Transportation & Logistics,Kansas City Southern is engaged in the development of roadways and railways. The company is focused on growing the north/south freight corridor connecting key commercial and industrial markets in the United States.,http://www.kcsouthern.com,KSU.png,Patrick J. Ottensmeyer,New York Stock Exchange,10642268144,Industrials,Industrials,Railroads,Transportation & Logistics 
