ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
BKNG,Booking Holdings Inc.,Booking,Travel & Leisure,"Booking Holdings Inc is an online travel agency. The firm through its branded sites offer booking services for hotel rooms, airline tickets, rental restaurant reservations, cruises, and other vacation packages.",http://www.bookingholdings.com,BKNG.png,Glenn Fogel,Nasdaq Global Select,86218896250,Consumer Cyclical,Consumer Cyclical,Leisure,Travel & Leisure 
LVS,Las Vegas Sands Corp.,Las Vegas Sands,Travel & Leisure,"Las Vegas Sands Corp operates fully integrated resorts with casino, hotel, entertainment. The company owns the Venetian Macao, Sands Macao, in Macau, the Marina Bay Sands resort in Singapore, the Venetian and Sands Bethlehem casinos in the United States.",http://www.sands.com,LVS.png,Sheldon Gary Adelson,New York Stock Exchange,46543124054,Consumer Cyclical,Consumer Cyclical,Resorts & Casinos,Travel & Leisure 
CCL,Carnival Corporation,Carnival,Travel & Leisure,"Carnival Corp is leisure travel company providing vacations to major cruise destinations across the world. It operates over 100 cruise ships brands including Carnival Cruise Lines, Holland America, Princess Cruise, Seabourn and fathom, and Cunard Line.",http://www.carnivalcorp.com,CCL.png,Arnold W. Donald,New York Stock Exchange,41807892706,Consumer Cyclical,Consumer Cyclical,Leisure,Travel & Leisure 
CUK,Carnival Plc ADS ADS,Carnival Plc ADS ADS,Travel & Leisure,"Carnival PLC is an UK-based cruise company providing leisure travel to major cruise destinations throughout the world. Its portfolio of cruise brands includes AIDA, Carnival Cruise Line, Costa, Cunard, Holland America Line, and other.",http://www.carnivalplc.com,,Arnold W. Donald,New York Stock Exchange,41263427237,Consumer Cyclical,Consumer Cyclical,Leisure,Travel & Leisure 
MAR,Marriott International,Marriott International,Travel & Leisure,"Marriott International Inc is an operator, franchisor and licensor of hotels and timeshare properties under different brand names. It also operates and develops residential properties and provides services to home/condominium owner associations.",http://www.marriott.com,MAR.png,Arne M. Sorenson,Nasdaq Global Select,39581348709,Consumer Cyclical,Consumer Cyclical,Lodging,Travel & Leisure 
RCL,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises,Travel & Leisure,"Royal Caribbean Cruises Ltd is a global cruise company. It owns and operates three global cruise brands: Royal Caribbean International, Celebrity Cruises and Azamara Club Cruises.",http://www.rclcorporate.com,RCL.png,Richard D. Fain,New York Stock Exchange,24834345112,Consumer Cyclical,Consumer Cyclical,Leisure,Travel & Leisure 
HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide,Travel & Leisure,"Hilton Worldwide Holdings Inc operates hotels and resorts. The company manages a total or approximately 750,000 rooms across over 10 brands. Some of its brands include Hampton, Hilton, Home2, Curio, Canopy, and Tru.",http://www.hiltonworldwide.com,HLT.png,Christopher J. Nassetta,New York Stock Exchange,22162675726,Consumer Cyclical,Consumer Cyclical,Lodging,Travel & Leisure 
EXPE,Expedia Group Inc.,Expedia,Travel & Leisure,"Expedia Group Inc is an online travel company. It offers holiday packages, rental cars, cruises, as well as destination services and activities. The Core OTA segment generates maximum revenue for the company.",http://www.expediagroup.com,EXPE.png,Mark D. Okerstrom,Nasdaq Global Select,18404301329,Consumer Cyclical,Consumer Cyclical,Leisure,Travel & Leisure 
CTRP,Ctrip.com International Ltd.,Ctrip.com International,Travel & Leisure,"Ctrip.com International Ltd provides travel related services. Its areas of interest include reservation, transportation ticketing, packaged-tour, corporate travel management services, as well as Internet-related advertising.",http://www.ctrip.com,,Jane Jie Sun,Nasdaq Global Select,18203504109,Consumer Cyclical,Consumer Cyclical,Leisure,Travel & Leisure 
MGM,MGM Resorts International,MGM Resorts International,Travel & Leisure,"MGM Resorts International owns and operates casino, hotel and entertainment resorts. The company offers its services through its properties in Las Vegas include Bellagio, MGM Grand, Mandalay Bay, Mirage, Luxor, and New York-New York.",http://www.mgmresorts.com,MGM.png,James Joseph Murren,New York Stock Exchange,15863700742,Consumer Cyclical,Consumer Cyclical,Resorts & Casinos,Travel & Leisure 
WYNN,Wynn Resorts Limited,Wynn Resorts Limited,Travel & Leisure,"Wynn Resorts Ltd is a casino resorts operator. The company integrates hotel accommodations and a range of amenities, including fine dining outlets, premium retail offerings, distinctive entertainment theaters and large meeting complexes.",http://www.wynnresorts.com,WYNN.png,Matt Maddox,Nasdaq Global Select,13790218853,Consumer Cyclical,Consumer Cyclical,Resorts & Casinos,Travel & Leisure 
