ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
NEE,NextEra Energy Inc.,NextEra Energy,Utilities - Regulated,"NextEra Energy Inc is an electric power company in North America. It generates renewable energy from wind and sun. The company also owns generation, transmission and distribution facilities and has investments in gas infrastructure assets.",http://www.nexteraenergy.com,NEE.png,James L. Robo,New York Stock Exchange,84763591329,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
DUK,Duke Energy Corporation (Holding Company),Duke Energy (Holding Company),Utilities - Regulated,Duke Energy Corp operates regulates utilities across the US. The company distributes electricity and gas to its customers and engages in three segments: electric utilities and infrastructure; gas utilities and infrastructure; and commercial renewables.,http://www.duke-energy.com,DUK.png,Lynn J. Good,New York Stock Exchange,62604907144,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
D,Dominion Energy Inc.,Dominion Energy,Utilities - Regulated,"Dominion Energy Inc is a producer and transporter of energy. It manages its daily operations through three operating segments namely Dominion Virginia Power of DVP, Dominion Energy and Dominion Generation.",http://www.dominionenergy.com,D.png,,New York Stock Exchange,57736397939,Utilities,Utilities,Utilities - Diversified,Utilities - Regulated 
SO,Southern Company (The),Southern Company (The),Utilities - Regulated,"Southern Co is an electricity generating company. It develops, constructs, acquires, owns, and manages generation assets, including renewable energy projects, and sells electricity at market-based rates in the wholesale market.",http://www.southerncompany.com,SO.png,Thomas A. Fanning,New York Stock Exchange,50106878911,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
EXC,Exelon Corporation,Exelon,Utilities - Regulated,Exelon Corp is a power retailer engaged in the utilities sector of United States. The company involves in the power generation and transmission activities. The Generation segment generates maximum revenue for the company.,http://www.exeloncorp.com,EXC.png,Christopher M. Crane,New York Stock Exchange,45778241376,Utilities,Utilities,Utilities - Diversified,Utilities - Regulated 
AEP,American Electric Power Company Inc.,American Electric Power Company,Utilities - Regulated,"American Electric Power Co Inc is a regulated utilities operator. The company generates, transmits and distributes electricity to more than 5 million retail customers across over 10 states in the United States of America.",http://www.aep.com,AEP.png,Nicholas K. Akins,New York Stock Exchange,39187358482,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
NGG,National Grid Transco PLC PLC (NEW) American Depositary Shares,National Grid Transco PLC PLC (NEW) American Depositary Shares,Utilities - Regulated,National Grid PLC transmits and distributes electricity & gas. It owns regulated transmission and electricity generation facilities in the United Kingdom and United States.,http://www.nationalgrid.com,NGG.png,John Pettigrew,New York Stock Exchange,37327019838,Utilities,Utilities,Utilities - Diversified,Utilities - Regulated 
SRE,Sempra Energy,Sempra Energy,Utilities - Regulated,"Sempra Energy is engaged in distributing natural gas and electricity in Southern California. Its non-California affiliates operates merchant gas and renewable power plants, LNG facilities and gas pipes and storage, as well as gas and electric utilities.",http://www.sempra.com,SRE.png,Jeffrey W. Martin,New York Stock Exchange,31982670145,Utilities,Utilities,Utilities - Diversified,Utilities - Regulated 
PEG,Public Service Enterprise Group Incorporated,Public Service Enterprise Incorporated,Utilities - Regulated,Public Service Enterprise Group Inc operates in the utilities sector. Its primary business involves the production and transmission of power.,http://www.pseg.com,PEG.png,Ralph Izzo,New York Stock Exchange,27686007865,Utilities,Utilities,Utilities - Diversified,Utilities - Regulated 
XEL,Xcel Energy Inc.,Xcel Energy,Utilities - Regulated,Xcel Energy Inc manages utilities to serve over 3.5 million electric customers and 2.0 million natural gas customers across United States. The company through its subsidiary firms operates the electric and gas business in US and Mexico.,http://www.xcelenergy.com,XEL.png,Benjamin G.S. Fowke,Nasdaq Global Select,26862861003,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
ED,Consolidated Edison Inc.,Consolidated Edison,Utilities - Regulated,"Consolidated Edison Inc functions in the utilities market. It owns energy infrastructure projects and its main business operations are its regulated electric, gas and steam delivery businesses. The CECONY segment generates maximum revenue.",https://www.conedison.com,ED.png,John McAvoy,New York Stock Exchange,24161225434,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
WEC,WEC Energy Group Inc.,WEC Energy,Utilities - Regulated,"WEC Energy Group Inc operates electric and gas utility businesses in various states across the US. The firm is primarily engaged in the generation of electricity, gas distribution, and electric transmission.",http://www.wecenergygroup.com,WEC.png,Gale E. Klappa,New York Stock Exchange,22979762294,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
PPL,PPL Corporation,PPL,Utilities - Regulated,PPL Corp is an energy and utility holding company operating through its subsidiaries. The company generates and markets electricity in the northeastern and western U.S. and in the delivery of electricity in Pennsylvania and the U.K.,http://www.pplweb.com,PPL.png,William H. Spence,New York Stock Exchange,22427025571,Utilities,Utilities,Utilities - Regulated Electric,Utilities - Regulated 
