AADR	AdvisorShares Dorsey Wright ADR	AdvisorShares Dorsey Wright		"The investment seeks long-term capital appreciation above international benchmarks such as the BNY Mellon Classic ADR Index, the fund's primary benchmark, and the MSCI EAFE Index, the fund's secondary benchmark.
 The fund seeks to achieve the fund's investment objective by selecting primarily a portfolio of U.S.-traded securities of non-U.S. organizations, most often American Depositary Receipts (""ADRs""). It will invest at least 80% of its total assets in ADRs and in securities that have economic characteristics similar to ADRs."	http://www.advisorshares.com	AADR.png		NYSE Arca	103161180				
AAXJ	iShares MSCI All Country Asia ex Japan Index Fund	iShares MSCI All Country Asia ex Japan Index Fund		"The investment seeks to track the investment results of the MSCI AC Asia ex Japan Index.
 The fund will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index is a free float-adjusted market capitalization index designed to measure equity market performance of securities from the following 11 developed, emerging and frontier market countries or regions: China, Hong Kong, India, Indonesia, Malaysia, Pakistan, the Philippines, Singapore, South Korea, Taiwan and Thailand."	http://www.ishares.com	AAXJ.png		NASDAQ Global Market	4541460000				
ACIM	SPDR MSCI ACWI IMI	SPDR MSCI ACWI IMI		"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the MSCI ACWI IMI Index.
 The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the combined equity market performance of developed and emerging markets. It is non-diversified."	http://www.spdrs.com			NYSE Arca	166320000				
ACWI	iShares MSCI ACWI Index Fund	iShares MSCI ACWI Index Fund		"The investment seeks to track the investment results of the MSCI ACWI composed of large- and mid-capitalization developed and emerging market equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization index designed to measure the combined equity market performance of developed and emerging markets countries."	http://www.ishares.com	ACWI.png		NASDAQ Global Market	10432072000				
ACWV	iShares Edge MSCI Min Vol Global	iShares Edge MSCI Min Vol Global		"The investment seeks to track the investment results of the MSCI ACWI Minimum Volatility (USD) Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the combined performance of equity securities in both developed and emerging markets that, in the aggregate, have lower volatility relative to the broader developed and emerging markets."	http://www.ishares.com	ACWV.png		Cboe Global Markets EDGX	3825342000				
ACWX	iShares MSCI ACWI ex US Index Fund	iShares MSCI ACWI ex US Index Fund		"The investment seeks to track the investment results of the MSCI ACWI ex USA Index composed of large- and mid-capitalization non-U.S. equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index designed to measure the combined equity market performance of developed and emerging markets countries, excluding the United States."	http://www.ishares.com	ACWX.png		NASDAQ Global Market	3814880000				
ADRA	Invesco BLDRS Asia 50 ADR Index Fund	Invesco BLDRS Asia 50 Index Fund		"The investment seeks to provide investment results that correspond generally before fees and expenses, to the price and yield performance of the Bank of New York Mellon Asia 50 ADR Index.
 The fund typically invests 95% of assets in the securities that comprise the index. The index is intended to give investors a benchmark for tracking the price and yield performance of Depositary Receipts from the Asian market. The fund is non-diversified."	http://www.invescopowershares.com	ADRA.png		NASDAQ Global Market	18326580				
ADRD	Invesco BLDRS Developed Markets 100 ADR Index Fund	Invesco BLDRS Developed Markets 100 Index Fund		"The investment seeks to provide investment results that correspond generally, before fees and expenses, to the price and yield performance of the Bank of New York Mellon Developed Markets 100 ADR Index.
 The fund typically invests substantially all of its assets in the securities that make up the index. The index is intended to give investors a benchmark for tracking the price and yield performance of Developed Markets Depositary Receipts. the fund is non-diversified."	http://www.invescopowershares.com	ADRD.png		NASDAQ Global Market	42726100				
ADRE	Invesco BLDRS Emerging Markets 50 ADR Index Fund	Invesco BLDRS Emerging Markets 50 Index Fund		"The investment seeks to provide investment results that correspond generally, before fees and expenses, to the price and yield performance of the Bank of New York Mellon Emerging Markets 50 ADR Index. 
 The fund typically invests substantially all of its assets in the securities that make up the index. The index is intended to give investors a benchmark for tracking the price and yield performance of Emerging Markets Depositary Receipts. the fund is non-diversified."	http://www.invescopowershares.com	ADRE.png		NASDAQ Global Market	134059965				
ADRU	Invesco BLDRS Europe Select ADR Index Fund	Invesco BLDRS Europe Select Index Fund		"The investment seeks to provide investment results that correspond generally, before fees and expenses, to the price and yield performance of the Bank of New York Mellon Europe Select ADR Index.
 The fund typically invests substantially all of its assets in the securities that make up the index. The index is intended to give investors a benchmark for tracking the price and yield performance of European Depositary Receipts. the fund is non-diversified."	http://www.invescopowershares.com	ADRU.png		NASDAQ Global Market	13169130				
